id_snisb;nome_barragem;municipio_sede;piloto_eixo;rank;codigo_estacao;nome_estacao;nome_rio;municipio_estacao;lat;lon;dist_barragem_km;dist_eixo_km;no_corredor_eixo;relacao;cota_cm;vazao_m3s;cota_alerta_cm;razao_nivel_cota_alerta;data_ultima;fonte_estacao;fonte_telemetria;a6_fonte
4518;PCH Ombreiras - Ombreiras;Araputanga;0;1;15043000;UHE GUAPORÉ MONTANTE 1;Rio Guaporé;Jauru;-15,059400;-58,910600;20,95;262,27;0;montante;248,0;68,00;280,0;0,886;2026-07-27 10:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;cota_medida
37458;Fazenda Mundo Novo - Reservatório Pulmão 1;Boa Esperança do Norte;0;1;01355006;PZ_LUCAS DO RIO VERDE;;Lucas do Rio Verde;-13,073300;-55,923100;71,91;183,74;0;montante;;;;;2026-07-27 09:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
37539;Fazenda Prediger III;Boa Esperança do Norte;0;1;01355006;PZ_LUCAS DO RIO VERDE;;Lucas do Rio Verde;-13,073300;-55,923100;65,98;183,74;0;montante;;;;;2026-07-27 09:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
36539;Barramento Pé de Pequi I;Chapada dos Guimarães;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;27,26;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;cota_medida
34040;CGH Oeiras - principal;Chapada dos Guimarães;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;60,29;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
34041;CGH Portal do Vale - principal;Chapada dos Guimarães;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;72,60;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
34042;CGH Vale do Roncador - principal;Chapada dos Guimarães;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;55,20;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
4931;PCH Casca II - B01 - CASCA I;Chapada dos Guimarães;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;67,64;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
20618;PCH Casca II - B02 - Ponte Alta;Chapada dos Guimarães;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;67,64;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
20617;PCH Casca III - Casca III;Chapada dos Guimarães;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;65,90;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
