data,data_hora,codigo_estacao,municipio,cod_ibge,chuva_mm,cota_cm,vazao_m3s,fonte
2026-07-25,2026-07-25 08:00:00,01455013,Chapada dos Guimarães,5103007,12.4,320.0,85.2,ANA_SAMPLE
2026-07-25,2026-07-25 14:00:00,01455013,Chapada dos Guimarães,5103007,8.0,322.0,86.0,ANA_SAMPLE
2026-07-26,2026-07-26 08:00:00,01455013,Chapada dos Guimarães,5103007,35.5,340.0,95.1,ANA_SAMPLE
2026-07-26,2026-07-26 14:00:00,01455013,Chapada dos Guimarães,5103007,22.0,345.0,98.0,ANA_SAMPLE
2026-07-27,2026-07-27 08:00:00,01455013,Chapada dos Guimarães,5103007,55.0,360.0,110.5,ANA_SAMPLE
2026-07-25,2026-07-25 09:00:00,01355006,Lucas do Rio Verde,5105259,5.0,,,ANA_SAMPLE
2026-07-26,2026-07-26 09:00:00,01355006,Lucas do Rio Verde,5105259,41.2,,,ANA_SAMPLE
2026-07-27,2026-07-27 09:00:00,01355006,Lucas do Rio Verde,5105259,18.0,,,ANA_SAMPLE
2026-07-25,2026-07-25 10:00:00,15043000,Jauru,5105000,2.0,210.0,40.0,ANA_SAMPLE
2026-07-26,2026-07-26 10:00:00,15043000,Jauru,5105000,60.5,255.0,72.0,ANA_SAMPLE
2026-07-27,2026-07-27 10:00:00,15043000,Jauru,5105000,15.0,248.0,68.0,ANA_SAMPLE
2026-07-26,2026-07-26 11:00:00,00758002,Apiacás,5100805,70.0,180.0,120.0,ANA_SAMPLE
2026-07-27,2026-07-27 11:00:00,00758002,Apiacás,5100805,25.0,175.0,115.0,ANA_SAMPLE
