id_snisb;nome;municipio;orgao_fiscalizador;empreendedor;curso_dagua;codigo_trecho_curso_dagua;relacao_com_cuiaba;categoria_risco;dano_potencial_associado;classe_cnrh;altura_m;capacidade_hm3;uso_principal;fase_de_vida;possui_plano_de_seguranca;possui_pae;data_ultima_inspecao;latitude;longitude
20601;UHE Manso - Dique 2;Chapada dos Guimarães;Agência Nacional de Energia Elétrica - ANEEL;PRODUTORES ENERGETICOS DE MANSO S/A - PROMAN;Córrego Grande;89678;montante;Baixo;Alto;A;12.0;7337.0;Hidroelétrica;Operação;Sim;Sim;;-14.857199999999978;-55.786400000000015
20602;UHE Manso - Dique 3;Chapada dos Guimarães;Agência Nacional de Energia Elétrica - ANEEL;PRODUTORES ENERGETICOS DE MANSO S/A - PROMAN;Córrego Grande;89678;montante;Baixo;Alto;A;16.0;7337.0;Hidroelétrica;Operação;Sim;Sim;;-14.857199999999978;-55.77420000000001
20603;UHE Manso - Dique 4;Chapada dos Guimarães;Agência Nacional de Energia Elétrica - ANEEL;PRODUTORES ENERGETICOS DE MANSO S/A - PROMAN;Córrego Grande;89678;montante;Baixo;Alto;A;4.0;7337.0;Hidroelétrica;Operação;Sim;Sim;;-14.851099999999974;-55.755600000000015
20604;UHE Manso - Dique 5;Chapada dos Guimarães;Agência Nacional de Energia Elétrica - ANEEL;PRODUTORES ENERGETICOS DE MANSO S/A - PROMAN;Córrego Grande;89678;montante;Baixo;Alto;A;9.0;7337.0;Hidroelétrica;Operação;Sim;Sim;;-14.847800000000007;-55.74860000000001
20605;UHE Manso - Dique 6;Chapada dos Guimarães;Agência Nacional de Energia Elétrica - ANEEL;PRODUTORES ENERGETICOS DE MANSO S/A - PROMAN;Córrego Grande;89678;montante;Baixo;Alto;A;8.0;7337.0;Hidroelétrica;Operação;Sim;Sim;;-14.841700000000003;-55.74079999999998
20606;UHE Manso - Dique 7;Chapada dos Guimarães;Agência Nacional de Energia Elétrica - ANEEL;PRODUTORES ENERGETICOS DE MANSO S/A - PROMAN;Córrego Grande;89678;montante;Baixo;Alto;A;8.0;7337.0;Hidroelétrica;Operação;Sim;Sim;;-14.840300000000013;-55.73750000000001
27954;Lago Recreativo Cuiabá;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;GBF NEGÓCIOS IMOBILIÁRIOS LTDA;Córrego do Ouro;89657544;montante;Não Classificado;Alto;;20.0;6.66;Recreação;Construção;Não;;;-15.457111111000017;-56.106583333
5490;Fazenda Dona Leila - RESERVATÓRIO 1;Rosário Oeste;MT - Secretaria de Estado do Meio Ambiente - SEMA;VIDEPLAST INDUSTRIA DE EMBALAGEM - LTDA;Ribeirão Grande;896592;montante;Não Classificado;Baixo;;5.75;3.825;Aquicultura;Operação;Não;;;-15.106944444000021;-56.50916666699999
35396;Fazenda São José;Rosário Oeste;MT - Secretaria de Estado do Meio Ambiente - SEMA;GILBERTO EGLAIR POSSAMAI;Córrego Jacarezinho;896638;montante;Médio;Médio;C;10.91;3.441;Recreação;Operação;Não;;;-14.681111111000007;-55.815944444000024
340;Piscicultura São Rafael;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;SILMAR DE SOUZA GONÇALVEZ;Rio Jangada;89658;montante;Não Classificado;Baixo;;6.47;3.038;Aquicultura;Operação;Não;;;-15.590222222000023;-56.78241666700001
34857;Barragem I Jangada Agropastoril;Jangada;MT - Secretaria de Estado do Meio Ambiente - SEMA;Jangada Agropastoril Ltda.;Rio Jangada;89658;montante;Médio;Médio;C;7.29;2.08;Irrigação;Operação;Não;;;-15.236055555999997;-56.57469444399999
8010;Faz. Dona Leila - Reservatório 13;Rosário Oeste;MT - Secretaria de Estado do Meio Ambiente - SEMA;VIDEPLAST INDUSTRIA DE EMBALAGEM - LTDA;Ribeirão Grande;896592;montante;Não se Aplica;Baixo;;4.85;2.021;Aquicultura;Operação;Não;;;-15.096000000000004;-56.48399999999998
586;BR BOSCO;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;MAX JOEL RUSSI;Córrego Tarumã;8965742;montante;Médio;Médio;C;20.61;1.985;Contenção de rejeitos de mineração;Operação;Sim;Sim;2020-10-21;-15.65635583300002;-56.33784083299997
