rank;score_prioridade;faixa;id_snisb;nome;municipio_sede;nivel;idap;dano_potencial_associado;uso_principal;n_municipios_extraterritoriais;n_lacunas_pae;alertavel;pts_dpa;pts_rejeito;pts_nivel;pts_extraterritorial;pts_pae;pts_nao_alertavel
1;75;crítica;21946;Fortuna;Pontes e Lacerda;Amarelo;35;Alto;Contenção de rejeitos de mineração;3;6;não avaliado;20;15;10;15;15;0
2;67;alta;26164;Bacia Grota da Onça;Pontes e Lacerda;Amarelo;24;Alto;Contenção de rejeitos de mineração;3;3;não avaliado;20;15;10;15;7;0
3;62;alta;4224;UHE Manso - Dique 1;Nobres;Verde;14;Alto;Hidroelétrica;4;6;não;20;0;2;15;15;10
4;61;alta;26131;BARRAGEM JVR;Cuiabá;Amarelo;25;Alto;Contenção de rejeitos de mineração;2;3;sim;20;15;10;9;7;0
5;61;alta;5560;Barragem de Rejeito Estrela;Nossa Senhora do Livramento;Amarelo;32;Alto;Contenção de rejeitos de mineração;2;3;sim;20;15;10;9;7;0
6;61;alta;5562;Barragem de Rejeito Estrela 02;Nossa Senhora do Livramento;Amarelo;32;Alto;Contenção de rejeitos de mineração;2;3;sim;20;15;10;9;7;0
7;61;alta;5559;Barragem de Rejeito Estrela 03;Nossa Senhora do Livramento;Amarelo;32;Alto;Contenção de rejeitos de mineração;2;3;sim;20;15;10;9;7;0
8;61;alta;790;Dique de Finos;Vila Bela da Santíssima Trindade;Amarelo;20;Alto;Contenção de rejeitos de mineração;2;2;não avaliado;20;15;10;9;7;0
9;60;alta;31174;LOTES 79 E 80;Sinop;Amarelo;20;Alto;Recreação;4;8;não avaliado;20;0;10;15;15;0
10;60;alta;26254;Neta;Nossa Senhora do Livramento;Amarelo;21;Alto;Contenção de rejeitos de mineração;0;6;não avaliado;20;15;10;0;15;0
11;60;alta;34094;PCH Nova Guaporé - Nova Guaporé;Vale de São Domingos;Amarelo;20;Alto;Hidroelétrica;3;8;não avaliado;20;0;10;15;15;0
12;60;alta;5212;UHE Guaporé - Guaporé;Vale de São Domingos;Amarelo;21;Alto;Hidroelétrica;3;6;não avaliado;20;0;10;15;15;0
13;60;alta;20601;UHE Manso - Dique 2;Chapada dos Guimarães;Amarelo;21;Alto;Hidroelétrica;6;6;sim;20;0;10;15;15;0
14;60;alta;20602;UHE Manso - Dique 3;Chapada dos Guimarães;Amarelo;21;Alto;Hidroelétrica;6;6;sim;20;0;10;15;15;0
15;60;alta;20603;UHE Manso - Dique 4;Chapada dos Guimarães;Amarelo;21;Alto;Hidroelétrica;6;6;sim;20;0;10;15;15;0
16;60;alta;20604;UHE Manso - Dique 5;Chapada dos Guimarães;Amarelo;21;Alto;Hidroelétrica;6;6;sim;20;0;10;15;15;0
17;60;alta;20605;UHE Manso - Dique 6;Chapada dos Guimarães;Amarelo;21;Alto;Hidroelétrica;6;6;sim;20;0;10;15;15;0
18;60;alta;20606;UHE Manso - Dique 7;Chapada dos Guimarães;Amarelo;21;Alto;Hidroelétrica;6;6;sim;20;0;10;15;15;0
19;59;alta;577;Barragem EPP;Pontes e Lacerda;Verde;19;Alto;Contenção de rejeitos de mineração;3;2;não avaliado;20;15;2;15;7;0
20;55;alta;26234;BARRAGEM BLOCO  SUL;Nova Santa Helena;Amarelo;21;Baixo;Contenção de rejeitos de mineração;3;5;não avaliado;0;15;10;15;15;0
21;55;alta;21949;BARRAGEM ÁGUA BRANCA;Rosário Oeste;Amarelo;20;Baixo;Contenção de rejeitos de mineração;3;5;sim;0;15;10;15;15;0
22;55;alta;31643;Beariz;Pontes e Lacerda;Amarelo;21;Baixo;Contenção de rejeitos de mineração;3;5;não avaliado;0;15;10;15;15;0
23;55;alta;35254;Beariz 2;Pontes e Lacerda;Amarelo;23;Baixo;Contenção de rejeitos de mineração;3;5;não avaliado;0;15;10;15;15;0
24;55;alta;35099;LV-01;Pontes e Lacerda;Amarelo;21;Baixo;Contenção de rejeitos de mineração;3;5;não avaliado;0;15;10;15;15;0
25;55;alta;29388;P.R.A;Pontes e Lacerda;Amarelo;23;Baixo;Contenção de rejeitos de mineração;3;5;não avaliado;0;15;10;15;15;0
26;55;alta;26261;SR.PEDRINHO;Pontes e Lacerda;Amarelo;23;Baixo;Contenção de rejeitos de mineração;3;5;não avaliado;0;15;10;15;15;0
27;55;alta;8006;VALE DOURADO;Rosário Oeste;Amarelo;22;Baixo;Contenção de rejeitos de mineração;3;5;sim;0;15;10;15;15;0
28;54;alta;27954;Lago Recreativo Cuiabá;Cuiabá;Amarelo;22;Alto;Recreação;2;8;sim;20;0;10;9;15;0
29;54;alta;34145;UHE Manso - Barragem da Margem Direita;Chapada dos Guimarães;Amarelo;20;Alto;Hidroelétrica;2;8;sim;20;0;10;9;15;0
30;54;alta;34146;UHE Manso - Barragem da Margem Esquerda;Chapada dos Guimarães;Amarelo;20;Alto;Hidroelétrica;2;8;sim;20;0;10;9;15;0
31;54;alta;4436;UHE Manso - Barragem de Terra do Leito do Rio;Chapada dos Guimarães;Amarelo;21;Alto;Hidroelétrica;2;6;sim;20;0;10;9;15;0
32;52;alta;34483;BARRAGEM MANAH 1;Nossa Senhora do Livramento;Verde;18;Alto;Contenção de rejeitos de mineração;0;7;não avaliado;20;15;2;0;15;0
33;52;alta;20211;CASA DE PEDRA;Cuiabá;Amarelo;13;Alto;Contenção de rejeitos de mineração;0;2;não avaliado;20;15;10;0;7;0
34;52;alta;20034;FAZENDA RIO VERDE;Sorriso;Verde;15;Alto;Irrigação;7;8;não avaliado;20;0;2;15;15;0
35;52;alta;37527;Fazenda Ventania;Nova Mutum;Verde;15;Alto;Irrigação;3;8;não avaliado;20;0;2;15;15;0
36;52;alta;34809;PCH Rio Claro (Antiga Perdidos) - PCH Rio Claro;São José do Rio Claro;Verde;14;Alto;Hidroelétrica;3;8;não avaliado;20;0;2;15;15;0
37;49;alta;29384;BR SANTA FELICIDADE 04;Nossa Senhora do Livramento;Amarelo;25;Baixo;Contenção de rejeitos de mineração;2;5;sim;0;15;10;9;15;0
38;49;alta;26142;Barragem  LVR;Juína;Amarelo;21;Baixo;Contenção de rejeitos de mineração;1;5;não avaliado;0;15;10;9;15;0
39;49;alta;27626;Barragem - Valdenir;Nossa Senhora do Livramento;Amarelo;22;Baixo;Contenção de rejeitos de mineração;2;5;sim;0;15;10;9;15;0
40;49;alta;34856;Barragem GMX;Nossa Senhora do Livramento;Amarelo;25;Baixo;Contenção de rejeitos de mineração;2;5;sim;0;15;10;9;15;0
41;49;alta;26156;Barragem JL;Nossa Senhora do Livramento;Amarelo;25;Baixo;Contenção de rejeitos de mineração;2;5;sim;0;15;10;9;15;0
42;49;alta;26169;Barragem Jauru;São José dos Quatro Marcos;Amarelo;22;Baixo;Contenção de rejeitos de mineração;2;5;não avaliado;0;15;10;9;15;0
43;49;alta;35120;Barragem Sankara;Nova Lacerda;Amarelo;21;Baixo;Contenção de rejeitos de mineração;1;5;não avaliado;0;15;10;9;15;0
44;49;alta;26146;Barragem TB;Cuiabá;Amarelo;25;Baixo;Contenção de rejeitos de mineração;2;5;sim;0;15;10;9;15;0
45;49;alta;27624;Barragem_Valdenir2;Nossa Senhora do Livramento;Amarelo;22;Baixo;Contenção de rejeitos de mineração;2;5;sim;0;15;10;9;15;0
46;49;alta;36585;CPO1;Pontes e Lacerda;Amarelo;22;Baixo;Contenção de rejeitos de mineração;2;5;não avaliado;0;15;10;9;15;0
47;49;alta;26171;MULTI 1;Nossa Senhora do Livramento;Amarelo;25;Baixo;Contenção de rejeitos de mineração;2;6;sim;0;15;10;9;15;0
48;49;alta;948;Rejeito;Juína;Amarelo;21;Baixo;Contenção de rejeitos de mineração;1;6;não avaliado;0;15;10;9;15;0
49;49;alta;26266;SERRA;Vila Bela da Santíssima Trindade;Amarelo;22;Baixo;Contenção de rejeitos de mineração;2;5;não avaliado;0;15;10;9;15;0
50;47;alta;8079;BARRAGEM  BLOCO NORTE;Nova Santa Helena;Verde;19;Baixo;Contenção de rejeitos de mineração;3;5;não avaliado;0;15;2;15;15;0
51;47;alta;27548;BIG BERION;Pontes e Lacerda;Amarelo;24;Médio;Contenção de rejeitos de mineração;3;2;não avaliado;0;15;10;15;7;0
52;47;alta;21924;Berion;Pontes e Lacerda;Amarelo;24;Médio;Contenção de rejeitos de mineração;3;2;não avaliado;0;15;10;15;7;0
53;47;alta;21941;Campos;Pontes e Lacerda;Amarelo;24;Baixo;Contenção de rejeitos de mineração;3;2;não avaliado;0;15;10;15;7;0
54;47;alta;21942;Elvo 1;Pontes e Lacerda;Amarelo;24;Baixo;Contenção de rejeitos de mineração;3;2;não avaliado;0;15;10;15;7;0
55;47;alta;21943;Elvo Captação;Pontes e Lacerda;Amarelo;24;Baixo;Contenção de sedimentos de mineração;3;3;não avaliado;0;15;10;15;7;0
56;47;alta;31305;Manga;Pontes e Lacerda;Amarelo;24;Baixo;Contenção de rejeitos de mineração;3;3;não avaliado;0;15;10;15;7;0
57;47;alta;37548;TSF Figueira Branca;Nova Santa Helena;Verde;19;Baixo;Contenção de rejeitos de mineração;3;5;não avaliado;0;15;2;15;15;0
58;46;alta;4955;PCH Figueirópolis - Figueirópolis;Indiavaí;Verde;17;Alto;Hidroelétrica;2;6;não avaliado;20;0;2;9;15;0
59;46;alta;4518;PCH Ombreiras - Ombreiras;Araputanga;Verde;14;Alto;Hidroelétrica;1;6;não avaliado;20;0;2;9;15;0
60;46;alta;22164;T G de Souza;Nossa Senhora do Livramento;Laranja;41;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;16;0;15;0
61;46;alta;20615;UHE Jauru - Barragem Auxiliar;Vila Bela da Santíssima Trindade;Verde;17;Alto;Hidroelétrica;2;6;não avaliado;20;0;2;9;15;0
62;46;alta;5108;UHE Jauru - Barragem Principal;Vila Bela da Santíssima Trindade;Verde;17;Alto;Hidroelétrica;2;6;não avaliado;20;0;2;9;15;0
63;45;alta;4594;PCH São Tadeu I - São Tadeu I;Cuiabá;Amarelo;11;Alto;Hidroelétrica;0;7;não avaliado;20;0;10;0;15;0
64;44;média;20391;Barragem 01;Nossa Senhora do Livramento;Verde;10;Alto;Contenção de rejeitos de mineração;0;2;não avaliado;20;15;2;0;7;0
65;44;média;788;COQUEIRAL;Poconé;Verde;13;Alto;Contenção de rejeitos de mineração;0;2;não avaliado;20;15;2;0;7;0
66;44;média;22045;JABURU;Nossa Senhora do Livramento;Verde;19;Alto;Contenção de rejeitos de mineração;0;2;não avaliado;20;15;2;0;7;0
67;44;média;945;POND 1 - BARRAGEM DE LIXIVIAÇÃO;Nova Xavantina;Verde;9;Alto;Contenção de rejeitos de mineração;0;2;não avaliado;20;15;2;0;7;0
68;44;média;946;POND 2 - BARRAGEM DE FLOTAÇÃO;Nova Xavantina;Verde;9;Alto;Contenção de rejeitos de mineração;0;2;não avaliado;20;15;2;0;7;0
69;44;média;947;POND 3 - BARRAGEM DE FLOTAÇÃO;Nova Xavantina;Verde;9;Alto;Contenção de rejeitos de mineração;0;2;não avaliado;20;15;2;0;7;0
70;44;média;5317;Planta;Rio Branco;Verde;17;Alto;Contenção de rejeitos de mineração;0;2;não avaliado;20;15;2;0;7;0
71;41;média;1263;B5;Nova Lacerda;Amarelo;22;Médio;Contenção de rejeitos de mineração;1;2;não avaliado;0;15;10;9;7;0
72;41;média;586;BR BOSCO;Nossa Senhora do Livramento;Amarelo;28;Médio;Contenção de rejeitos de mineração;2;2;sim;0;15;10;9;7;0
73;41;média;21940;BR PIRÂMIDE;Nossa Senhora do Livramento;Amarelo;28;Médio;Contenção de rejeitos de mineração;2;2;sim;0;15;10;9;7;0
74;41;média;5573;BR SANTA 01;Nossa Senhora do Livramento;Amarelo;33;Médio;Contenção de rejeitos de mineração;2;2;sim;0;15;10;9;7;0
75;41;média;588;BR SANTA FELICIDADE;Nossa Senhora do Livramento;Amarelo;28;Médio;Contenção de rejeitos de mineração;2;2;sim;0;15;10;9;7;0
76;41;média;22009;BR SANTA FELICIDADE 02;Nossa Senhora do Livramento;Amarelo;26;Baixo;Contenção de rejeitos de mineração;2;3;sim;0;15;10;9;7;0
77;41;média;27937;BRAVO 1;Várzea Grande;Amarelo;21;Médio;Contenção de rejeitos de mineração;2;2;sim;0;15;10;9;7;0
78;41;média;26265;BRAVO II;Várzea Grande;Verde;17;Baixo;Contenção de rejeitos de mineração;2;5;sim;0;15;2;9;15;0
79;41;média;31525;BRAVO IV;Várzea Grande;Verde;17;Baixo;Contenção de rejeitos de mineração;2;5;sim;0;15;2;9;15;0
80;41;média;26138;Barragem Serrinha;Cuiabá;Amarelo;28;Baixo;Contenção de rejeitos de mineração;2;3;sim;0;15;10;9;7;0
81;41;média;5603;Barragem de Rejeitos Bom Futuro;Nossa Senhora do Livramento;Amarelo;37;Médio;Contenção de rejeitos de mineração;2;3;sim;0;15;10;9;7;0
82;41;média;5314;Cabeceiras;Vila Bela da Santíssima Trindade;Amarelo;23;Médio;Contenção de rejeitos de mineração;2;2;não avaliado;0;15;10;9;7;0
83;41;média;5315;Casarão;Vila Bela da Santíssima Trindade;Amarelo;23;Médio;Contenção de rejeitos de mineração;2;2;não avaliado;0;15;10;9;7;0
84;41;média;22041;Dorival;Nova Santa Helena;Verde;19;Baixo;Contenção de rejeitos de mineração;2;5;não avaliado;0;15;2;9;15;0
85;41;média;27619;MD-01;Nova Lacerda;Amarelo;22;Baixo;Contenção de rejeitos de mineração;1;3;não avaliado;0;15;10;9;7;0
86;41;média;22158;Santa Helena;Nova Santa Helena;Verde;19;Baixo;Contenção de rejeitos de mineração;2;5;não avaliado;0;15;2;9;15;0
87;41;média;5563;Santa Maria;Nossa Senhora do Livramento;Amarelo;35;Médio;Contenção de rejeitos de mineração;2;3;sim;0;15;10;9;7;0
88;40;média;1267;BACIA DE REJEITO MINERGOLD;Nossa Senhora do Livramento;Amarelo;29;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;10;0;15;0
89;40;média;27896;BARBA;Poconé;Amarelo;26;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
90;40;média;26235;BARRAGEM COOP 01;Nossa Senhora do Livramento;Amarelo;22;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
91;40;média;32029;BARRAGEM NA FAZENDA ÁGUA SANTA II;Lucas do Rio Verde;Amarelo;16;Baixo;Paisagismo;8;8;não avaliado;0;0;10;15;15;0
92;40;média;26240;BP-01;Nossa Senhora do Livramento;Amarelo;22;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;10;0;15;0
93;40;média;26241;BP-02;Nossa Senhora do Livramento;Amarelo;22;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;10;0;15;0
94;40;média;26147;BR ÁGUA DE COCO;Nossa Senhora do Livramento;Amarelo;29;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;10;0;15;0
95;40;média;29381;BR03;Nossa Senhora do Livramento;Amarelo;29;Médio;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;10;0;15;0
96;40;média;35939;Barragem Barba 02;Poconé;Amarelo;28;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
97;40;média;31517;Barragem Bem-te-vi;Lucas do Rio Verde;Amarelo;16;Baixo;Irrigação;3;8;não avaliado;0;0;10;15;15;0
98;40;média;26236;Barragem Fazenda Aguassu;Nossa Senhora do Livramento;Amarelo;28;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;10;0;15;0
99;40;média;29377;Barragem MSJ;Cuiabá;Amarelo;18;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
100;40;média;8041;Barragem T04;Cuiabá;Amarelo;15;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
