codigo_cnes;nome_fantasia;nome_razao_social;codigo_municipio;municipio;no_eixo_montante;no_eixo_jusante;bairro_estabelecimento;endereco_estabelecimento;descricao_esfera_administrativa;descricao_nivel_hierarquia;descricao_turno_atendimento;codigo_tipo_unidade;tipo_gestao;atendimento_hospitalar;atendimento_ambulatorial;ambulatorial_sus;centro_cirurgico;centro_obstetrico;centro_neonatal;servico_apoio;latitude;longitude;numero_telefone_estabelecimento;data_atualizacao
9792732;FARMACIA BASICA;MUNICIPIO DE ACORIZAL;510010;Acorizal;Sim;Não;CENTRO;AV HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;43;M;;Não;SIM;;;;Não;-15.199636;-56.366027;;2025-09-03
8297177;DROGARIA ACORIZAL;DROGARIA ACORIZAL LTDA;510010;Acorizal;Sim;Não;CENTRO;AVENIDA HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;43;M;Não;Não;NAO;Não;Não;Não;Sim;-15.19913;-56.36823;;2026-06-16
8301816;CONCESIONARIA ROTA DO OESTE SAU 09;CONCESIONARIA ROTA DO OESTE S A;510010;Acorizal;Sim;Não;ZONA RURAL;RODOVIA BR 364 KM 487;MUNICIPAL;;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);42;M;;Não;NAO;;;;Sim;-15.2765429;-56.442701;;2026-06-16
2390981;CENTRO DE SAUDE DE ACORIZAL;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;CENTRO;AVN HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;2;M;Não;Não;SIM;Não;Não;Não;Sim;-15.19972;-56.36567;(65)33531226;2025-09-03
2391007;POSTO DE SAUDE DE CHAPEU DE SOL;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;ZONA RURAL;CHAPEU DE SOL;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;-15.056223;-56.32548;(65)03531226;2025-09-03
2391015;POSTO DE SAUDE DE BAUS;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;ZONA RURAL;BAUS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;-15.235251;-56.295097;65 33531226;2025-09-03
2391023;POSTO DE SAUDE DE ENGENHO;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;ZONA RURAL;ENGENHO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;-15.155809;-56.414213;(65)03531226;2025-09-03
2854279;SORRIR MAIS CONSULTORIO ODONTOLOGICO;CONSULTORIO ODONTOLOGICO SORRIR MAIS LTDA;510010;Acorizal;Sim;Não;CENTRO;AV HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Sim;-15.2005024;-56.364259;;2026-03-17
3049167;UDR ACORIZAL IRINEU JOSE DE ARRUDA;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;CENTRO;AV HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;SIM;Não;Não;Não;Sim;-15.19983;-56.36557;(65) 3531226;2025-09-03
5286158;DROGARIA FARMALIDER;DROGARIA FARMALIDER LTDA;510010;Acorizal;Sim;Não;CENTRO;HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;43;M;Não;Não;NAO;Não;Não;Não;Sim;-15.199245239273816;-56.36793443899205;65 36826688;2025-09-03
6467067;SECRETARIA MUNICIPAL DE SAUDE DE ACORIZAL;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;CENTRO;AV HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;68;M;;Não;SIM;;;;Sim;-15.200056;-56.365951;(65) 3353-1341;2025-09-03
7355777;LABORATORIO MUNICIPAL DE ACORIZAL;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;CENTRO;AV HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;39;M;Não;Não;SIM;Não;Não;Não;Sim;-15.199678;-56.365937;(65)33531341;2025-09-03
7855532;CENTRAL DE REGULACAO ACORIZAL;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;CENTRO;AVENIDA HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;81;M;;Não;NAO;;;;Não;-15.200297157575555;-56.36382222175598;6533241081;2025-09-03
9906584;FARMACIA BASICA;MUNICIPIO DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;RUA ALIPIO DUARTE;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;43;M;Não;Não;SIM;Não;Não;Não;Sim;-16.199056036522506;-55.967724323272705;;2025-09-03
4877160;LABORATORIO LPC;A L BORBA;510160;Barão de Melgaço;Não;Sim;CENTRO;RUA ESTEVAO DE MENDONCA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;39;M;;Não;SIM;;;;Não;-16.196440529495693;-55.96741780092451;65-993596116;2025-09-23
8197326;DROGARIA PRECO BAIXO;D A M GONCALVES;510160;Barão de Melgaço;Não;Sim;CENTRO;MARECHAL RONDON;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;43;M;;Não;NAO;;;;Sim;-16.196436;-55.966766;65999575803;2026-04-16
2390663;UDR EDGAR MARQUES DA SILVA;PREFEITURA MUNICIPAL DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;RUA MARECHAL RONDON;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;SIM;Não;Não;Não;Não;-16.195576207148292;-55.966013073921204;;2025-09-03
2391309;CENTRO DE SAUDE DA FAMILIA BARAO DE MELGACO PSF URBANO;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;RUA ALIPIO DUARTE;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2;M;Não;Não;SIM;Não;Não;Não;Sim;-16.199159065323954;-55.96804618835449;(65)03311155;2025-09-03
2391317;POSTO DE SAUDE DE CAPOEIRINHA;PREFEITURA MUNICIPACL DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;ZONA RURAL;CAPOEIRINHA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;-16.469011702048046;-55.93963623046875;;2025-09-03
2391325;UNIDADE DE SAUDE DA FAMILIA DE JOSELANDIA PSF RURAL;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;JOSELANDIA;SAO PEDRO DE JOSELANDIA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2;M;Não;Não;SIM;Não;Não;Não;Sim;-16.547025217796605;-56.16193771362305;;2025-09-03
2391333;POSTO DE SAUDE DE PORTO BRANDAO;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;PORTO BRANDAO;PORTO BRANDAO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;SIM;Não;Não;Não;Não;-16.296579564556815;-55.9669303894043;;2025-09-03
2391341;POSTO DE SAUDE PIRIGARA;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;PIRIGARA;PIRAGARA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;;;;2025-09-03
2391376;POSTO DE SAUDE DE ESTIRAO COMPRIDO;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;ESTIRAO COMPRIDO;ESTIRAO COMPRIDO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;;;;2025-09-03
2391384;POSTO DE SAUDE DE VILA RECREIO;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;EUGENIO DA SILVA TAQUES;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;-16.194007559326394;-55.94830513000488;;2025-09-03
