municipio;codigo_ibge;codigo_cnes_6d;prioridade
Alta Floresta;5100250;510025;estadual
Alto Araguaia;5100300;510030;estadual
Alto Boa Vista;5100359;510035;estadual
Alto Garças;5100409;510040;estadual
Alto Taquari;5100607;510060;estadual
Araguaiana;5101001;510100;estadual
Araputanga;5101258;510125;estadual
Arenápolis;5101308;510130;estadual
Aripuanã;5101407;510140;estadual
Barra do Bugres;5101704;510170;estadual
Barra do Garças;5101803;510180;estadual
Boa Esperança do Norte;5101837;510183;estadual
Bom Jesus do Araguaia;5101852;510185;estadual
Brasnorte;5101902;510190;estadual
Campinápolis;5102603;510260;estadual
Campo Novo do Parecis;5102637;510263;estadual
Campo Verde;5102678;510267;estadual
Campos de Júlio;5102686;510268;estadual
Canarana;5102702;510270;estadual
Carlinda;5102793;510279;estadual
Chapada dos Guimarães;5103007;510300;eixo
Cláudia;5103056;510305;estadual
Colniza;5103254;510325;estadual
Comodoro;5103304;510330;estadual
Confresa;5103353;510335;estadual
Conquista D'Oeste;5103361;510336;estadual
Cuiabá;5103403;510340;eixo
Cáceres;5102504;510250;estadual
Denise;5103452;510345;estadual
Diamantino;5103502;510350;estadual
Dom Aquino;5103601;510360;estadual
Feliz Natal;5103700;510370;estadual
Gaúcha do Norte;5103858;510385;estadual
General Carneiro;5103908;510390;estadual
Guarantã do Norte;5104104;510410;estadual
Guiratinga;5104203;510420;estadual
Indiavaí;5104500;510450;estadual
Ipiranga do Norte;5104526;510452;estadual
Itaúba;5104559;510455;estadual
Itiquira;5104609;510460;estadual
Jaciara;5104807;510480;estadual
Jangada;5104906;510490;estadual
Jauru;5105002;510500;estadual
Juara;5105101;510510;estadual
Juruena;5105176;510517;estadual
Juscimeira;5105200;510520;estadual
Juína;5105150;510515;estadual
Lucas do Rio Verde;5105259;510525;estadual
Luciara;5105309;510530;estadual
Marcelândia;5105580;510558;estadual
Mirassol d'Oeste;5105622;510562;estadual
Nobres;5105903;510590;eixo
Nortelândia;5106000;510600;estadual
Nossa Senhora do Livramento;5106109;510610;estadual
Nova Bandeirantes;5106158;510615;estadual
Nova Canaã do Norte;5106216;510621;estadual
Nova Lacerda;5106182;510618;estadual
Nova Marilândia;5108857;510885;estadual
Nova Maringá;5108907;510890;estadual
Nova Mutum;5106224;510622;estadual
Nova Olímpia;5106232;510623;estadual
Nova Santa Helena;5106190;510619;estadual
Nova Ubiratã;5106240;510624;estadual
Nova Xavantina;5106257;510625;estadual
Novo Horizonte do Norte;5106273;510627;estadual
Novo São Joaquim;5106281;510628;estadual
Paranatinga;5106307;510630;estadual
Paranaíta;5106299;510629;estadual
Pedra Preta;5106372;510637;estadual
Planalto da Serra;5106455;510645;estadual
Poconé;5106505;510650;estadual
Pontal do Araguaia;5106653;510665;estadual
Ponte Branca;5106703;510670;estadual
Pontes e Lacerda;5106752;510675;estadual
Porto Esperidião;5106828;510682;estadual
Porto dos Gaúchos;5106802;510680;estadual
Poxoréu;5107008;510700;estadual
Primavera do Leste;5107040;510704;estadual
Querência;5107065;510706;estadual
Ribeirão Cascalheira;5107180;510718;estadual
Ribeirãozinho;5107198;510719;estadual
Rio Branco;5107206;510720;estadual
Rondolândia;5107578;510757;estadual
Rondonópolis;5107602;510760;estadual
Rosário Oeste;5107701;510770;estadual
Salto do Céu;5107750;510775;estadual
Santa Carmem;5107248;510724;estadual
Santa Cruz do Xingu;5107743;510774;estadual
Santa Rita do Trivelato;5107768;510776;estadual
Santa Terezinha;5107776;510777;estadual
Santo Afonso;5107263;510726;estadual
Santo Antônio de Leverger;5107800;510780;estadual
Santo Antônio do Leste;5107792;510779;estadual
Sapezal;5107875;510787;estadual
Serra Nova Dourada;5107883;510788;estadual
Sinop;5107909;510790;estadual
Sorriso;5107925;510792;estadual
São Félix do Araguaia;5107859;510785;estadual
São José do Povo;5107297;510729;estadual
São José do Rio Claro;5107305;510730;estadual
São José do Xingu;5107354;510735;estadual
São José dos Quatro Marcos;5107107;510710;estadual
Tabaporã;5107941;510794;estadual
Tangará da Serra;5107958;510795;estadual
Tapurah;5108006;510800;estadual
Terra Nova do Norte;5108055;510805;estadual
Tesouro;5108105;510810;estadual
Torixoréu;5108204;510820;estadual
União do Sul;5108303;510830;estadual
Vale de São Domingos;5108352;510835;estadual
Vera;5108501;510850;estadual
Vila Bela da Santíssima Trindade;5105507;510550;estadual
Vila Rica;5108600;510860;estadual
Várzea Grande;5108402;510840;eixo
Água Boa;5100201;510020;estadual
