municipio;codigo_ibge;papel;email;nome;telefone;observacao
Acorizal;5100102;gestor_municipal_saude;;Plantão exercício — Gestor municipal de saúde;(65)33531226;Preencher e-mail institucional validado pela SES-MT/SMS
Acorizal;5100102;vigilancia_saude;;Plantão exercício — Vigilância em Saúde;(65)33531226;Preencher e-mail institucional validado pela SES-MT/SMS
Acorizal;5100102;defesa_civil_municipal;;Plantão exercício — Defesa Civil municipal;(65)33531226;Preencher e-mail institucional validado pela SES-MT/SMS
Acorizal;5100102;cievs;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Acorizal;5100102;samu;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Acorizal;5100102;hospital_referencia;;CENTRO DE SAUDE DE ACORIZAL;(65)33531226;Preencher e-mail institucional validado pela SES-MT/SMS
Acorizal;5100102;vigiagua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Acorizal;5100102;concessionaria_agua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Barão de Melgaço;5101605;gestor_municipal_saude;;Plantão exercício — Gestor municipal de saúde;65-993596116;Preencher e-mail institucional validado pela SES-MT/SMS
Barão de Melgaço;5101605;vigilancia_saude;;Plantão exercício — Vigilância em Saúde;65-993596116;Preencher e-mail institucional validado pela SES-MT/SMS
Barão de Melgaço;5101605;defesa_civil_municipal;;Plantão exercício — Defesa Civil municipal;65-993596116;Preencher e-mail institucional validado pela SES-MT/SMS
Barão de Melgaço;5101605;cievs;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Barão de Melgaço;5101605;samu;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Barão de Melgaço;5101605;hospital_referencia;;LABORATORIO LPC;65-993596116;Preencher e-mail institucional validado pela SES-MT/SMS
Barão de Melgaço;5101605;vigiagua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Barão de Melgaço;5101605;concessionaria_agua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Chapada dos Guimarães;5103007;gestor_municipal_saude;;Plantão exercício — Gestor municipal de saúde;65 96885508;Preencher e-mail institucional validado pela SES-MT/SMS
Chapada dos Guimarães;5103007;vigilancia_saude;;Plantão exercício — Vigilância em Saúde;65 96885508;Preencher e-mail institucional validado pela SES-MT/SMS
Chapada dos Guimarães;5103007;defesa_civil_municipal;;Plantão exercício — Defesa Civil municipal;65 96885508;Preencher e-mail institucional validado pela SES-MT/SMS
Chapada dos Guimarães;5103007;cievs;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Chapada dos Guimarães;5103007;samu;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Chapada dos Guimarães;5103007;hospital_referencia;;GRANJIMMY CENTRO DE TRATAMENTO;65 96885508;Preencher e-mail institucional validado pela SES-MT/SMS
Chapada dos Guimarães;5103007;vigiagua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Chapada dos Guimarães;5103007;concessionaria_agua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Cuiabá;5103403;gestor_municipal_saude;;Plantão exercício — Gestor municipal de saúde;(65)3618-8800;Preencher e-mail institucional validado pela SES-MT/SMS
Cuiabá;5103403;vigilancia_saude;;Plantão exercício — Vigilância em Saúde;(65)3618-8800;Preencher e-mail institucional validado pela SES-MT/SMS
Cuiabá;5103403;defesa_civil_municipal;;Plantão exercício — Defesa Civil municipal;(65)3618-8800;Preencher e-mail institucional validado pela SES-MT/SMS
Cuiabá;5103403;cievs;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Cuiabá;5103403;samu;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Cuiabá;5103403;hospital_referencia;;HOSPITAL ESTADUAL SANTA CASA;(65)3618-8800;Preencher e-mail institucional validado pela SES-MT/SMS
Cuiabá;5103403;vigiagua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Cuiabá;5103403;concessionaria_agua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Jangada;5104906;gestor_municipal_saude;;Plantão exercício — Gestor municipal de saúde;65 984411382;Preencher e-mail institucional validado pela SES-MT/SMS
Jangada;5104906;vigilancia_saude;;Plantão exercício — Vigilância em Saúde;65 984411382;Preencher e-mail institucional validado pela SES-MT/SMS
Jangada;5104906;defesa_civil_municipal;;Plantão exercício — Defesa Civil municipal;65 984411382;Preencher e-mail institucional validado pela SES-MT/SMS
Jangada;5104906;cievs;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Jangada;5104906;samu;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Jangada;5104906;hospital_referencia;;MEDICAL CLINIC;65 984411382;Preencher e-mail institucional validado pela SES-MT/SMS
Jangada;5104906;vigiagua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Jangada;5104906;concessionaria_agua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Nobres;5105903;gestor_municipal_saude;;Plantão exercício — Gestor municipal de saúde;(65)33762812;Preencher e-mail institucional validado pela SES-MT/SMS
Nobres;5105903;vigilancia_saude;;Plantão exercício — Vigilância em Saúde;(65)33762812;Preencher e-mail institucional validado pela SES-MT/SMS
Nobres;5105903;defesa_civil_municipal;;Plantão exercício — Defesa Civil municipal;(65)33762812;Preencher e-mail institucional validado pela SES-MT/SMS
Nobres;5105903;cievs;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Nobres;5105903;samu;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Nobres;5105903;hospital_referencia;;HOSPITAL E MATERNIDADE LAURA VICUNA;(65)33762812;Preencher e-mail institucional validado pela SES-MT/SMS
Nobres;5105903;vigiagua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Nobres;5105903;concessionaria_agua;;;;Preencher e-mail institucional validado pela SES-MT/SMS
Nossa Senhora do Livramento;5106109;gestor_municipal_saude;;Plantão exercício — Gestor municipal de saúde;(65)3351-1133;Preencher e-mail institucional validado pela SES-MT/SMS
