municipio;codigo_ibge;regiao_saude;papel;papel_rotulo;nome;cargo;telefone;celular;email;substituto;telefone_substituto;data_validacao;fonte;observacao
Acorizal;5100102;Baixada Cuiabana;gestor_municipal_saude;Gestor municipal de saúde;Plantão exercício — Gestor municipal de saúde;Exercício técnico Vigibarragens;(65)33531226;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Acorizal;5100102;Baixada Cuiabana;vigilancia_saude;Vigilância em Saúde municipal;Plantão exercício — Vigilância em Saúde;Exercício técnico Vigibarragens;(65)33531226;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Acorizal;5100102;Baixada Cuiabana;defesa_civil_municipal;Defesa Civil municipal;Plantão exercício — Defesa Civil municipal;Exercício técnico Vigibarragens;(65)33531226;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Acorizal;5100102;Baixada Cuiabana;cievs;CIEVS (regional/municipal);;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Acorizal;5100102;Baixada Cuiabana;samu;SAMU / regulação de urgência;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Acorizal;5100102;Baixada Cuiabana;hospital_referencia;Hospital de referência;CENTRO DE SAUDE DE ACORIZAL;;(65)33531226;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — candidato CNES 2390981. Substituir por contato institucional validado (90 dias).
Acorizal;5100102;Baixada Cuiabana;vigiagua;Vigilância da qualidade da água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Acorizal;5100102;Baixada Cuiabana;concessionaria_agua;Concessionária de água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Barão de Melgaço;5101605;Baixada Cuiabana;gestor_municipal_saude;Gestor municipal de saúde;Plantão exercício — Gestor municipal de saúde;Exercício técnico Vigibarragens;65-993596116;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Barão de Melgaço;5101605;Baixada Cuiabana;vigilancia_saude;Vigilância em Saúde municipal;Plantão exercício — Vigilância em Saúde;Exercício técnico Vigibarragens;65-993596116;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Barão de Melgaço;5101605;Baixada Cuiabana;defesa_civil_municipal;Defesa Civil municipal;Plantão exercício — Defesa Civil municipal;Exercício técnico Vigibarragens;65-993596116;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Barão de Melgaço;5101605;Baixada Cuiabana;cievs;CIEVS (regional/municipal);;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Barão de Melgaço;5101605;Baixada Cuiabana;samu;SAMU / regulação de urgência;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Barão de Melgaço;5101605;Baixada Cuiabana;hospital_referencia;Hospital de referência;LABORATORIO LPC;;65-993596116;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — candidato CNES 4877160. Substituir por contato institucional validado (90 dias).
Barão de Melgaço;5101605;Baixada Cuiabana;vigiagua;Vigilância da qualidade da água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Barão de Melgaço;5101605;Baixada Cuiabana;concessionaria_agua;Concessionária de água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Chapada dos Guimarães;5103007;Baixada Cuiabana;gestor_municipal_saude;Gestor municipal de saúde;Plantão exercício — Gestor municipal de saúde;Exercício técnico Vigibarragens;65 96885508;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Chapada dos Guimarães;5103007;Baixada Cuiabana;vigilancia_saude;Vigilância em Saúde municipal;Plantão exercício — Vigilância em Saúde;Exercício técnico Vigibarragens;65 96885508;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Chapada dos Guimarães;5103007;Baixada Cuiabana;defesa_civil_municipal;Defesa Civil municipal;Plantão exercício — Defesa Civil municipal;Exercício técnico Vigibarragens;65 96885508;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Chapada dos Guimarães;5103007;Baixada Cuiabana;cievs;CIEVS (regional/municipal);;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Chapada dos Guimarães;5103007;Baixada Cuiabana;samu;SAMU / regulação de urgência;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Chapada dos Guimarães;5103007;Baixada Cuiabana;hospital_referencia;Hospital de referência;GRANJIMMY CENTRO DE TRATAMENTO;;65 96885508;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — candidato CNES 552283. Substituir por contato institucional validado (90 dias).
Chapada dos Guimarães;5103007;Baixada Cuiabana;vigiagua;Vigilância da qualidade da água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Chapada dos Guimarães;5103007;Baixada Cuiabana;concessionaria_agua;Concessionária de água;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Cuiabá;5103403;Baixada Cuiabana;gestor_municipal_saude;Gestor municipal de saúde;Plantão exercício — Gestor municipal de saúde;Exercício técnico Vigibarragens;(65)3618-8800;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Cuiabá;5103403;Baixada Cuiabana;vigilancia_saude;Vigilância em Saúde municipal;Plantão exercício — Vigilância em Saúde;Exercício técnico Vigibarragens;(65)3618-8800;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Cuiabá;5103403;Baixada Cuiabana;defesa_civil_municipal;Defesa Civil municipal;Plantão exercício — Defesa Civil municipal;Exercício técnico Vigibarragens;(65)3618-8800;;;;;2026-07-30;exercicio_tecnico;EXERCÍCIO TÉCNICO — telefone espelhado do CNES apenas para destravar D8/alertável no piloto. Obrigatório validar com SES/SMS/Defesa Civil.
Cuiabá;5103403;Baixada Cuiabana;cievs;CIEVS (regional/municipal);;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
Cuiabá;5103403;Baixada Cuiabana;samu;SAMU / regulação de urgência;;;;;;;;;esqueleto;Preencher e validar por telefone (prazo 90 dias).
