codigo_inep;nome;municipio;codigo_ibge;dependencia;localizacao;situacao;latitude;longitude;fonte;observacao
;OSM school;;;;;em_atividade;-15.631214;-56.102171;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Sesi Escola;;;;;em_atividade;-15.635893;-56.106336;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.606618;-56.058404;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Profº Francisca de Souza Alencar;;;government;;em_atividade;-14.785550;-57.272915;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Profa. Julieta Xavier Borges;;;;;em_atividade;-15.061297;-57.175080;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Armindo de Arruda Campos;;;;;em_atividade;-15.675506;-56.130999;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Tia Angela;;;;;em_atividade;-15.676436;-56.133231;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Municipal Sagrado Coração de Jesus;;;;;em_atividade;-14.778441;-57.282950;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Municipal Rene Barbour;;;;;em_atividade;-14.774299;-57.285269;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Muncipal;Nossa Senhora do Livramento;5106109;;;em_atividade;-15.780620;-56.339107;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-14.826520;-56.430762;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Municipal Professora Maria Luiza;;;;;em_atividade;-15.468496;-55.729705;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.229008;-56.497727;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Municipal;;;;;em_atividade;-15.201240;-56.000104;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Ecola Municipal 13 de maio;;;;;em_atividade;-14.785228;-57.277874;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;João Godofredo;;;;;em_atividade;-16.248762;-56.622337;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Colégio Mëtha - Unidade Tênis Clube;;;;;em_atividade;-15.665407;-56.132919;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Cecília Meireles;;;;;em_atividade;-15.609204;-56.031016;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola de Odontologia;;;;;em_atividade;-15.595508;-56.113924;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Auge Inbeo;;;;;em_atividade;-15.595581;-56.114526;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Colégio Salesiano São Gonçalo;Cuiabá;5103403;;;em_atividade;-15.605032;-56.098546;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Francisco Ferreira Mendes;;;;;em_atividade;-15.614271;-56.062752;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;IFMT Cuiabá;Cuiabá;5103403;;;em_atividade;-15.592075;-56.098627;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Professor Ulisses Cuiabano;Cuiabá;5103403;;;em_atividade;-15.595500;-56.119177;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;ICEC;;;;;em_atividade;-15.575254;-56.098096;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola do Farina;;;;;em_atividade;-15.606480;-56.080047;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Henrique da Silva Prado;;;;;em_atividade;-15.601588;-56.083669;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Professor Antônio Epaminondas;;;;;em_atividade;-15.592754;-56.084406;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Creche Micaela Henrique de Sousa Lima;;;;;em_atividade;-15.597125;-56.084632;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;E.E João Briene de Carvalho;;;;;em_atividade;-15.596578;-56.079006;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Professora Esmeralda de Campos Fontes;;;;;em_atividade;-15.578848;-56.118590;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Creche Macaria Militona Santana;;;;;em_atividade;-15.581919;-56.115545;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Juarez Sodré Farias;;;;;em_atividade;-15.584505;-56.089515;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Santa Cecília;;;;;em_atividade;-15.609819;-56.081055;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EE Profº Nilo Póvoas;;;;;em_atividade;-15.599061;-56.092818;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EE Emília Fernandes de Figueiredo;;;;;em_atividade;-15.601866;-56.093526;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Raio de Sol;;;;;em_atividade;-15.624723;-56.079724;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Filogênio Corrêa;;;;;em_atividade;-15.618691;-56.081958;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EE Profª Joaquina Cerqueira Caldas;Cuiabá;5103403;;;em_atividade;-15.602633;-56.088726;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Santos Dumont;;;;;em_atividade;-15.616905;-56.091083;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Professora Tereza Lobo;;;;;em_atividade;-15.613114;-56.099381;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EE Antônio Cesário de Figueiredo Neto;;;;;em_atividade;-15.601170;-56.090797;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Dom Francisco de Aquino Corrêa;;;;;em_atividade;-15.620906;-56.088550;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Programa de Pós-Graduação em Física Ambiental;;;;;em_atividade;-15.608790;-56.063282;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Faculdade de Enfermagem;;;;;em_atividade;-15.609038;-56.062963;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Laboratório de Psicologia;;;;;em_atividade;-15.614608;-56.071243;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
