categoria;nome;municipio;distancia_eixo_km;faixa;segmento_do_eixo;familias;hospitalar;detalhe;longitude;latitude
aldeia indígena;ALEGRIA;Barão de Melgaço;0.1;até 2 km;jusante_capital;;;TI Baía dos Guató;-56.582775;-17.056836
aldeia indígena;ATERRADINHO;Barão de Melgaço;0.17;até 2 km;jusante_capital;;;TI Baía dos Guató;-56.593642;-17.009789
aldeia indígena;SÃO BENEDITO;Barão de Melgaço;13.38;acima de 10 km;jusante_capital;;;TI Baía dos Guató;-56.460425;-16.999706
aldeia indígena;PERIGARA;Barão de Melgaço;32.6;acima de 10 km;jusante_capital;;;TI Perigara;-56.229994;-16.921464
aldeia indígena;UMUTINA;Barra do Bugres;68.77;acima de 10 km;manso_capital;;;TI Umutina;-57.108347;-15.089206
aldeia indígena;SANTANA;Nobres;76.74;acima de 10 km;manso_capital;;;TI Santana;-55.479617;-14.233597
aldeia indígena;NOVA CANAÃ;Nobres;80.73;acima de 10 km;manso_capital;;;TI Santana;-55.478097;-14.194072
aldeia indígena;GOMES CARNEIRO;Santo Antônio de Leverger;81.31;acima de 10 km;jusante_capital;;;TI Tereza Cristina;-55.213611;-16.594417
aldeia indígena;Posto Indígena Gomes Carneiro;Santo Antônio de Leverger;82.4;acima de 10 km;jusante_capital;;;TI Tereza Cristina;-55.207147;-16.607417
aldeia indígena;ESTAÇÃO PARECI;Nova Marilândia;92.63;acima de 10 km;manso_capital;;;TI Estação Parecis;-56.928189;-14.151261
aldeia indígena;Posto Indigena Gomes Pimentel;Santo Antônio de Leverger;99.25;acima de 10 km;jusante_capital;;;TI Tereza Cristina;-55.025897;-16.532042
aldeia indígena;PIEBAGA;Santo Antônio de Leverger;104.27;acima de 10 km;jusante_capital;;;TI Tereza Cristina;-54.989967;-16.591578
aldeia indígena;SAWOPA;Planalto da Serra;127.6;acima de 10 km;manso_capital;;;TI Bakairi;-54.721133;-14.346689
aldeia indígena;PAXOLA;Paranatinga;129.05;acima de 10 km;manso_capital;;;TI Bakairi;-54.736717;-14.292692
aldeia indígena;ATURUA;Paranatinga;132.28;acima de 10 km;manso_capital;;;TI Bakairi;-54.650692;-14.391
aldeia indígena;PAKUERA;Paranatinga;132.66;acima de 10 km;manso_capital;;;TI Bakairi;-54.682892;-14.319667
aldeia indígena;PAIKUM;Paranatinga;140.21;acima de 10 km;manso_capital;;;TI Bakairi;-54.611228;-14.306128
aldeia indígena;POBORE;Rondonópolis;146.88;acima de 10 km;jusante_capital;;;TI Tadarimana;-54.567144;-16.502011
aldeia indígena;CABECEIRA DO AZUL;Paranatinga;148.97;acima de 10 km;manso_capital;;;TI Bakairi;-54.535803;-14.276481
aldeia indígena;KAIAHOALO;Paranatinga;152.3;acima de 10 km;manso_capital;;;TI Bakairi;-54.475939;-14.329383
aldeia indígena;praião;Rondonópolis;153.07;acima de 10 km;jusante_capital;;;TI Tadarimana;-54.507544;-16.505361
