cod_aldeia;cod_municipio;cod_ti;coord_lat;coord_long;data_cadastro;flag_ativo;nome_aldeia;nome_cr;nommunic;nomuf;undadm_codigo
44;5101902;28801;-12.1775;-58.4004555556;;A;Japuíra -Menku;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;Brasnorte;Mato Grosso;30202002032
45;5105101;2301;-10.916944444444;-57.533611111111;;A;Tatuí;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;Juara;Mato Grosso;30202002032
46;5105101;2301;-10.900555555556;-57.500833333333;;A;Figueira;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;Juara;Mato Grosso;30202002032
47;5105101;2301;-10.9;-57.4675;;A;Mairob;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;Juara;Mato Grosso;30202002032
48;5105101;2301;-10.9;-57.534444444444;;A;Beira Rio;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;Juara;Mato Grosso;30202002032
49;5105101;2301;-10.884166666667;-57.534166666667;;A;Renovada;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;Juara;Mato Grosso;30202002032
50;5105101;2301;-10.883611111111;-57.55;;A;Curva;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;Juara;Mato Grosso;30202002032
51;5105101;2301;-10.883333333333;-57.550277777778;;A;Nova Munduruku;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;Juara;Mato Grosso;30202002032
52;5105101;2301;-11.116666666667;-57.266666666667;;A;Vale Verde;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;Juara;Mato Grosso;30202002032
53;5105101;2301;-11.084444444444;-57.266666666667;;A;Flor da Terra;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;Juara;Mato Grosso;30202002032
54;5105101;2301;-11.083333333333;-57.266666666667;;A;Kawaipe;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;Juara;Mato Grosso;30202002032
55;5105101;2301;-10.95;-57.283611111111;;A;Ytu Cachoeira;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;Juara;Mato Grosso;30202002032
