cr;data_atualizacao;dominio_uniao;epsg;etnia_nome;faixa_fronteira;fase_ti;gid;modalidade_ti;municipio_nome;reestudo_ti;superficie_perimetro_ha;terrai_codigo;terrai_nome;uf_sigla;undadm_codigo;undadm_nome;undadm_sigla
COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;04/04/2025;t;4674;Apiaká,Kaiabi;Não;Regularizada;22;Tradicionalmente ocupada;Juara;;109245.3822;2301;Apiaka/Kayabi;MT;30202002032;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;CR-NOMT
COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;25/06/2026;t;4674;Arara do Acre;Não;Regularizada;32;Tradicionalmente ocupada;Aripuanã,Colniza;;114842.4748;3301;Arara do Rio Branco;MT;30202002032;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;CR-NOMT
COORDENACAO REGIONAL RIBEIRAO CASCALHEIRA;26/06/2020;t;4674;Xavante;Não;Regularizada;38;Tradicionalmente ocupada;Água Boa;;218515;3901;Areões;MT;30202002046;COORDENACAO REGIONAL RIBEIRAO CASCALHEIRA;CR-RC
COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;26/06/2026;t;4674;Cinta Larga;Não;Regularizada;39;Tradicionalmente ocupada;Aripuanã,Juína;;750649.265;4201;Aripuanã;MT;30202002032;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;CR-NOMT
COORDENACAO REGIONAL DE CUIABA;19/03/2015;t;4674;Guató ;Sim;Homologada;49;Tradicionalmente ocupada;Barão de Melgaço,Poconé;;19216.9606;5101;Baía dos Guató;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL DE CUIABA;30/06/2026;t;4674;Bakairí;Não;Regularizada;50;Tradicionalmente ocupada;Planalto da Serra,Paranatinga;;61405.4605;5201;Bakairi;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL XINGU;;t;4674;Wauja;Não;Regularizada;59;Tradicionalmente ocupada;Gaúcha do Norte;;5158.9817;6001;Batovi;MT;30202002060;COORDENACAO REGIONAL XINGU;CR-XIN
COORDENACAO REGIONAL NORTE DO MATO GROSSO;24/07/2023;t;4674;Kayapó;Não;Regularizada;93;Tradicionalmente ocupada;São José do Xingu,Santa Cruz do Xingu,Peixoto de Azevedo;;634915.2256;9201;Capoto/Jarina;MT;30202002039;COORDENACAO REGIONAL NORTE DO MATO GROSSO;CR-NMT
COORDENACAO REGIONAL XAVANTE;;t;4674;Xavante;Não;Regularizada;101;Tradicionalmente ocupada;Campinápolis;;12741.8456;10001;Chão Preto;MT;30202002053;COORDENACAO REGIONAL XAVANTE;CR-XAV
COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;10/02/2025;t;4674;Enawenê-Nawê;Sim;Regularizada;112;Tradicionalmente ocupada;Comodoro,Sapezal,Juína;;742088.6783;11201;Enawenê-Nawê;MT;30202002032;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;CR-NOMT
COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;;t;4674;Rikbaktsa;Não;Regularizada;114;Tradicionalmente ocupada;Brasnorte;;79934.801;11401;Erikpatsá;MT;30202002032;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;CR-NOMT
COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;22/06/2026;t;4674;Rikbaktsa;Não;Regularizada;115;Tradicionalmente ocupada;Cotriguaçu;;168938.468;11501;Escondido;MT;30202002032;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;CR-NOMT
