latitude;longitude;s_km;offset_km;elevacao_m;elev_talvegue_ref;hand_m
-14.87573;-55.77223;0.0;0.0;258.0;258.0;0.0
-14.87954;-55.77471;0.0;-0.5;258.0;258.0;0.0
-14.87192;-55.76976;0.0;0.5;258.0;258.0;0.0
-14.88334;-55.77719;0.0;-1.0;258.0;258.0;0.0
-14.86812;-55.76728;0.0;1.0;258.0;258.0;0.0
-14.88715;-55.77967;0.0;-1.5;276.0;258.0;18.0
-14.86431;-55.7648;0.0;1.5;266.0;258.0;8.0
-14.89095;-55.78214;0.0;-2.0;322.0;258.0;64.0
-14.86051;-55.76232;0.0;2.0;288.0;258.0;30.0
-14.89476;-55.78462;0.0;-2.5;320.0;258.0;62.0
-14.8567;-55.75985;0.0;2.5;287.0;258.0;29.0
-14.89857;-55.7871;0.0;-3.0;318.0;258.0;60.0
-14.85289;-55.75737;0.0;3.0;294.0;258.0;36.0
-14.90237;-55.78958;0.0;-3.5;313.0;258.0;55.0
-14.84909;-55.75489;0.0;3.5;297.0;258.0;39.0
-14.90618;-55.79206;0.0;-4.0;326.0;258.0;68.0
-14.84528;-55.75241;0.0;4.0;276.0;258.0;18.0
-14.87087;-55.78958;2.0;0.0;230.0;230.0;0.0
-14.87506;-55.79127;2.0;-0.5;257.0;230.0;27.0
-14.86669;-55.78789;2.0;0.5;265.0;230.0;35.0
-14.87925;-55.79296;2.0;-1.0;275.0;230.0;45.0
-14.8625;-55.78619;2.0;1.0;288.0;230.0;58.0
-14.88344;-55.79465;2.0;-1.5;288.0;230.0;58.0
-14.85831;-55.7845;2.0;1.5;299.0;230.0;69.0
-14.88763;-55.79635;2.0;-2.0;271.0;230.0;41.0
-14.85412;-55.78281;2.0;2.0;287.0;230.0;57.0
-14.89182;-55.79804;2.0;-2.5;295.0;230.0;65.0
-14.84993;-55.78112;2.0;2.5;274.0;230.0;44.0
-14.89601;-55.79973;2.0;-3.0;327.0;230.0;97.0
-14.84574;-55.77943;2.0;3.0;278.0;230.0;48.0
-14.90019;-55.80142;2.0;-3.5;349.0;230.0;119.0
-14.84155;-55.77773;2.0;3.5;271.0;230.0;41.0
-14.90438;-55.80312;2.0;-4.0;337.0;230.0;107.0
-14.83736;-55.77604;2.0;4.0;259.0;230.0;29.0
-14.86608;-55.80173;4.0;0.0;242.0;242.0;0.0
-14.86863;-55.80556;4.0;-0.5;248.0;242.0;6.0
-14.86352;-55.7979;4.0;0.5;253.0;242.0;11.0
-14.87119;-55.80938;4.0;-1.0;240.0;242.0;0.0
-14.86097;-55.79407;4.0;1.0;327.0;242.0;85.0
-14.87374;-55.81321;4.0;-1.5;252.0;242.0;10.0
-14.85841;-55.79024;4.0;1.5;293.0;242.0;51.0
-14.8763;-55.81704;4.0;-2.0;297.0;242.0;55.0
-14.85586;-55.78641;4.0;2.0;283.0;242.0;41.0
-14.87885;-55.82087;4.0;-2.5;315.0;242.0;73.0
-14.8533;-55.78259;4.0;2.5;280.0;242.0;38.0
-14.88141;-55.8247;4.0;-3.0;313.0;242.0;71.0
-14.85075;-55.77876;4.0;3.0;287.0;242.0;45.0
-14.88396;-55.82853;4.0;-3.5;328.0;242.0;86.0
-14.84819;-55.77493;4.0;3.5;291.0;242.0;49.0
-14.88651;-55.83236;4.0;-4.0;283.0;242.0;41.0
-14.84564;-55.7711;4.0;4.0;305.0;242.0;63.0
-14.85938;-55.8093;6.0;0.0;238.0;238.0;0.0
-14.86044;-55.81382;6.0;-0.5;250.0;238.0;12.0
-14.85833;-55.80477;6.0;0.5;258.0;238.0;20.0
-14.86149;-55.81834;6.0;-1.0;269.0;238.0;31.0
-14.85727;-55.80025;6.0;1.0;267.0;238.0;29.0
-14.86255;-55.82286;6.0;-1.5;260.0;238.0;22.0
-14.85621;-55.79573;6.0;1.5;260.0;238.0;22.0
-14.86361;-55.82738;6.0;-2.0;250.0;238.0;12.0
-14.85516;-55.79121;6.0;2.0;280.0;238.0;42.0
-14.86466;-55.83191;6.0;-2.5;258.0;238.0;20.0
-14.8541;-55.78669;6.0;2.5;280.0;238.0;42.0
-14.86572;-55.83643;6.0;-3.0;284.0;238.0;46.0
-14.85304;-55.78216;6.0;3.0;279.0;238.0;41.0
-14.86677;-55.84095;6.0;-3.5;266.0;238.0;28.0
-14.85199;-55.77764;6.0;3.5;284.0;238.0;46.0
-14.86783;-55.84547;6.0;-4.0;281.0;238.0;43.0
-14.85093;-55.77312;6.0;4.0;291.0;238.0;53.0
-14.84312;-55.8141;8.0;0.0;237.0;237.0;0.0
-14.84737;-55.81259;8.0;-0.5;235.0;237.0;0.0
-14.83887;-55.81562;8.0;0.5;271.0;237.0;34.0
-14.85162;-55.81107;8.0;-1.0;239.0;237.0;2.0
-14.83462;-55.81714;8.0;1.0;289.0;237.0;52.0
-14.85587;-55.80955;8.0;-1.5;238.0;237.0;1.0
-14.83037;-55.81865;8.0;1.5;281.0;237.0;44.0
-14.86012;-55.80804;8.0;-2.0;235.0;237.0;0.0
-14.82612;-55.82017;8.0;2.0;291.0;237.0;54.0
-14.86438;-55.80652;8.0;-2.5;248.0;237.0;11.0
-14.82187;-55.82168;8.0;2.5;307.0;237.0;70.0
-14.86863;-55.805;8.0;-3.0;247.0;237.0;10.0
-14.81761;-55.8232;8.0;3.0;301.0;237.0;64.0
-14.87288;-55.80349;8.0;-3.5;251.0;237.0;14.0
-14.81336;-55.82472;8.0;3.5;278.0;237.0;41.0
-14.87713;-55.80197;8.0;-4.0;270.0;237.0;33.0
-14.80911;-55.82623;8.0;4.0;306.0;237.0;69.0
-14.85388;-55.82621;10.0;0.0;235.0;235.0;0.0
-14.85663;-55.82253;10.0;-0.5;250.0;235.0;15.0
-14.85113;-55.82989;10.0;0.5;241.0;235.0;6.0
-14.85938;-55.81885;10.0;-1.0;264.0;235.0;29.0
-14.84838;-55.83357;10.0;1.0;235.0;235.0;0.0
-14.86213;-55.81517;10.0;-1.5;255.0;235.0;20.0
-14.84563;-55.83725;10.0;1.5;270.0;235.0;35.0
-14.86488;-55.81149;10.0;-2.0;251.0;235.0;16.0
-14.84288;-55.84093;10.0;2.0;261.0;235.0;26.0
-14.86763;-55.80781;10.0;-2.5;236.0;235.0;1.0
-14.84013;-55.84461;10.0;2.5;241.0;235.0;6.0
-14.87038;-55.80413;10.0;-3.0;258.0;235.0;23.0
-14.83738;-55.84829;10.0;3.0;239.0;235.0;4.0
-14.87314;-55.80045;10.0;-3.5;236.0;235.0;1.0
-14.83463;-55.85197;10.0;3.5;243.0;235.0;8.0
-14.87589;-55.79677;10.0;-4.0;245.0;235.0;10.0
-14.83188;-55.85565;10.0;4.0;264.0;235.0;29.0
-14.85295;-55.8345;12.0;0.0;243.0;243.0;0.0
-14.85257;-55.83914;12.0;-0.5;234.0;243.0;0.0
-14.85332;-55.82986;12.0;0.5;248.0;243.0;5.0
-14.85219;-55.84377;12.0;-1.0;245.0;243.0;2.0
-14.8537;-55.82523;12.0;1.0;232.0;243.0;0.0
-14.85182;-55.84841;12.0;-1.5;238.0;243.0;0.0
-14.85408;-55.82059;12.0;1.5;242.0;243.0;0.0
-14.85144;-55.85304;12.0;-2.0;247.0;243.0;4.0
-14.85445;-55.81596;12.0;2.0;251.0;243.0;8.0
-14.85106;-55.85768;12.0;-2.5;257.0;243.0;14.0
-14.85483;-55.81132;12.0;2.5;234.0;243.0;0.0
-14.85069;-55.86231;12.0;-3.0;252.0;243.0;9.0
-14.85521;-55.80669;12.0;3.0;250.0;243.0;7.0
-14.85031;-55.86695;12.0;-3.5;248.0;243.0;5.0
-14.85558;-55.80205;12.0;3.5;261.0;243.0;18.0
-14.84993;-55.87158;12.0;-4.0;246.0;243.0;3.0
-14.85596;-55.79741;12.0;4.0;260.0;243.0;17.0
-14.85563;-55.84039;14.0;0.0;230.0;230.0;0.0
-14.85849;-55.8368;14.0;-0.5;259.0;230.0;29.0
-14.85276;-55.84397;14.0;0.5;241.0;230.0;11.0
-14.86136;-55.83322;14.0;-1.0;254.0;230.0;24.0
-14.84989;-55.84755;14.0;1.0;233.0;230.0;3.0
-14.86423;-55.82964;14.0;-1.5;262.0;230.0;32.0
-14.84702;-55.85113;14.0;1.5;231.0;230.0;1.0
-14.8671;-55.82606;14.0;-2.0;290.0;230.0;60.0
-14.84415;-55.85471;14.0;2.0;228.0;230.0;0.0
-14.86997;-55.82247;14.0;-2.5;288.0;230.0;58.0
-14.84128;-55.8583;14.0;2.5;227.0;230.0;0.0
-14.87284;-55.81889;14.0;-3.0;257.0;230.0;27.0
-14.83841;-55.86188;14.0;3.0;231.0;230.0;1.0
-14.8757;-55.81531;14.0;-3.5;285.0;230.0;55.0
-14.83554;-55.86546;14.0;3.5;257.0;230.0;27.0
-14.87857;-55.81172;14.0;-4.0;264.0;230.0;34.0
-14.83267;-55.86904;14.0;4.0;267.0;230.0;37.0
-14.84631;-55.85293;16.0;0.0;237.0;237.0;0.0
-14.85047;-55.85471;16.0;-0.5;250.0;237.0;13.0
-14.84216;-55.85115;16.0;0.5;246.0;237.0;9.0
-14.85462;-55.85649;16.0;-1.0;277.0;237.0;40.0
-14.838;-55.84937;16.0;1.0;238.0;237.0;1.0
-14.85878;-55.85826;16.0;-1.5;281.0;237.0;44.0
-14.83385;-55.84759;16.0;1.5;252.0;237.0;15.0
-14.86293;-55.86004;16.0;-2.0;289.0;237.0;52.0
-14.82969;-55.84581;16.0;2.0;271.0;237.0;34.0
-14.86709;-55.86182;16.0;-2.5;298.0;237.0;61.0
-14.82554;-55.84404;16.0;2.5;273.0;237.0;36.0
-14.87124;-55.8636;16.0;-3.0;307.0;237.0;70.0
-14.82138;-55.84226;16.0;3.0;274.0;237.0;37.0
-14.8754;-55.86538;16.0;-3.5;313.0;237.0;76.0
-14.81723;-55.84048;16.0;3.5;293.0;237.0;56.0
-14.87955;-55.86716;16.0;-4.0;302.0;237.0;65.0
-14.81307;-55.8387;16.0;4.0;301.0;237.0;64.0
-14.84127;-55.86594;18.0;0.0;232.0;232.0;0.0
-14.84506;-55.86343;18.0;-0.5;238.0;232.0;6.0
-14.83749;-55.86845;18.0;0.5;253.0;232.0;21.0
-14.84885;-55.86092;18.0;-1.0;257.0;232.0;25.0
-14.8337;-55.87096;18.0;1.0;265.0;232.0;33.0
-14.85263;-55.85841;18.0;-1.5;269.0;232.0;37.0
-14.82991;-55.87346;18.0;1.5;269.0;232.0;37.0
-14.85642;-55.8559;18.0;-2.0;284.0;232.0;52.0
-14.82613;-55.87597;18.0;2.0;255.0;232.0;23.0
-14.86021;-55.85339;18.0;-2.5;292.0;232.0;60.0
-14.82234;-55.87848;18.0;2.5;259.0;232.0;27.0
-14.86399;-55.85089;18.0;-3.0;287.0;232.0;55.0
-14.81855;-55.88099;18.0;3.0;265.0;232.0;33.0
-14.86778;-55.84838;18.0;-3.5;287.0;232.0;55.0
-14.81477;-55.8835;18.0;3.5;287.0;232.0;55.0
-14.87156;-55.84587;18.0;-4.0;251.0;232.0;19.0
-14.81098;-55.88601;18.0;4.0;304.0;232.0;72.0
-14.84591;-55.88107;20.0;0.0;235.0;235.0;0.0
-14.84978;-55.8787;20.0;-0.5;259.0;235.0;24.0
-14.84204;-55.88343;20.0;0.5;248.0;235.0;13.0
-14.85365;-55.87633;20.0;-1.0;247.0;235.0;12.0
-14.83817;-55.8858;20.0;1.0;276.0;235.0;41.0
-14.85752;-55.87396;20.0;-1.5;267.0;235.0;32.0
-14.83429;-55.88817;20.0;1.5;300.0;235.0;65.0
-14.86139;-55.8716;20.0;-2.0;299.0;235.0;64.0
-14.83042;-55.89054;20.0;2.0;278.0;235.0;43.0
-14.86526;-55.86923;20.0;-2.5;285.0;235.0;50.0
-14.82655;-55.8929;20.0;2.5;294.0;235.0;59.0
-14.86913;-55.86686;20.0;-3.0;299.0;235.0;64.0
-14.82268;-55.89527;20.0;3.0;339.0;235.0;104.0
-14.873;-55.86449;20.0;-3.5;312.0;235.0;77.0
-14.81881;-55.89764;20.0;3.5;308.0;235.0;73.0
-14.87687;-55.86213;20.0;-4.0;295.0;235.0;60.0
-14.81494;-55.9;20.0;4.0;325.0;235.0;90.0
