id_snisb;nome;municipio_sede;codigo_ibge;data_referencia;chuva_24h_mm;chuva_72h_mm;chuva_prevista_24_72h_mm;percentil_climatologico;saturacao_antecedente;razao_nivel_cota_alerta;dias_consecutivos_chuva_intensa;fonte_precip;fonte_previsao;fonte_solo;fonte_hidro;nivel_alerta_hidro;alerta_cemaden;alerta_cemaden_nivel;alerta_inmet;alerta_inmet_nivel;alerta_ana_nivel;nivel_alerta_integrado;score_alerta_integrado;componente_dominante;motivo_integrado;vazao_prevista_glofas_m3s;fonte_glofas;n_municipios_contribuintes;municipios_contribuintes_ibge;aproximacao_espacial;fonte_telemetria_a;estacao_inmet;dist_estacao_km;cota_cm;vazao_m3s;cota_alerta_cm;codigo_estacao_ana_ref;a6_fonte;data_cota_ana
31990;1A;Alta Floresta;5100250;2026-09-06;2.7;30.7;3.1;30.0;1,0000;0,55;0;openmeteo_ponto;openmeteo_ponto;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;14;5100250|5102793|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;ponto_barragem_telemetria;openmeteo_ponto;;;;;;17381600;sem_cota_alerta;
31977;2B;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;14;5100250|5102793|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17381600;sem_cota_alerta;
21862;BONANZA;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;14;5100250|5102793|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17381100;sem_cota_alerta;
31551;Barragem 07 - Fazenda Zeniiti III;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;13;5100250|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17381600;sem_cota_alerta;
37352;Barragem I - Fazenda Mariana II;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;14;5100250|5102793|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17381600;sem_cota_alerta;
37353;Barragem II - Fazenda Mariana II;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;14;5100250|5102793|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17381600;sem_cota_alerta;
34585;Barramento - Fazenda Cristalino III;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;14;5100250|5102793|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;535,0;;;17381000;contexto_somente;2026-09-07 10:00:00
35005;Barramento - Fazenda Tropeiro Velho IV e V;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;13;5100250|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17385000;sem_cota_alerta;
35118;Barramento 05 - Fazenda Zeniiti III;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;14;5100250|5102793|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17381600;sem_cota_alerta;
35110;Barramento 10 - Fazenda Zeniiti III;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;14;5100250|5102793|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17381600;sem_cota_alerta;
