codigo_ibge;municipio;data_referencia;chuva_24h_mm;chuva_72h_mm;chuva_prevista_24_72h_mm;percentil_climatologico;saturacao_antecedente;indice_saturacao_solo;classe_saturacao_solo;razao_nivel_cota_alerta;nivel_alerta_hidro;dias_consecutivos_chuva_intensa;dias_com_serie_precip;fonte_precip;fonte_previsao;fonte_solo;fonte_hidro;alerta_cemaden;alerta_cemaden_nivel;alerta_inmet;alerta_inmet_nivel;alerta_ana_nivel;nivel_alerta_integrado;score_alerta_integrado;componente_dominante;motivo_integrado;vazao_prevista_glofas_m3s;fonte_glofas;aproximacao_espacial
5100102;Acorizal;2026-09-06;5.5;6.5;1.0;57.0;0,4090;40,9;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5100201;Água Boa;2026-09-06;11.4;12.7;8.4;86.6;0,5970;59,7;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5100250;Alta Floresta;2026-09-06;4.7;13.8;3.1;50.7;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5100300;Alto Araguaia;2026-09-06;2.8;8.8;8.2;38.0;0,4290;42,9;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5100359;Alto Boa Vista;2026-09-06;3.9;19.7;2.2;46.5;0,8620;86,2;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5100409;Alto Garças;2026-09-06;1.0;6.2;5.0;17.6;0,3970;39,7;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5100508;Alto Paraguai;2026-09-06;6.2;7.1;2.1;64.8;0,3900;39,0;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5100607;Alto Taquari;2026-09-06;3.1;6.3;6.2;40.8;0,8470;84,7;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5100805;Apiacás;2026-09-06;14.2;17.6;21.4;93.7;0,7350;73,5;alta;0,55;verde;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;;;Tempestade;amarelo;verde;;;;;;;municipio_sede
5101001;Araguaiana;2026-09-06;7.3;7.8;13.5;71.1;0,6260;62,6;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
