id_snisb;nome;municipio_sede;orgao_fiscalizador;uso_principal;dano_potencial_associado;categoria_risco;codigo_trecho_curso_dagua;idap;nivel;nivel_por_pontuacao;completude;confiabilidade;idap_projetado;pontos_a;pontos_b;pontos_c;pontos_d;alertavel;contatos_validados_90d;regras_disparadas;lacunas;municipios_potencialmente_afetados;municipios_posicao_indeterminada;n_municipios_afetados;n_municipios_extraterritoriais;versao_pesos;instante
31990;1A;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Aquicultura;Não Classificado;Não Classificado;4445546;4;Amarelo;Verde;0,370;insuficiente;10,8;2;2;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
31977;2B;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Aquicultura;Não Classificado;Não Classificado;4445546;4;Amarelo;Verde;0,370;insuficiente;10,8;2;2;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
21862;BONANZA;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Industrial;Baixo;Não se Aplica;4445544;3;Amarelo;Verde;0,370;insuficiente;8,1;2;1;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
31551;Barragem 07 - Fazenda Zeniiti III;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Aquicultura;Baixo;Médio;444546;5;Amarelo;Verde;0,370;insuficiente;13,5;2;3;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
37352;Barragem I - Fazenda Mariana II;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Recreação;Baixo;Médio;4445548;5;Amarelo;Verde;0,370;insuficiente;13,5;2;3;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
37353;Barragem II - Fazenda Mariana II;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Recreação;Baixo;Médio;4445548;5;Amarelo;Verde;0,370;insuficiente;13,5;2;3;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
34585;Barramento - Fazenda Cristalino III;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Irrigação;Baixo;Alto;4445594;7;Amarelo;Verde;0,370;insuficiente;18,9;2;5;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
35005;Barramento - Fazenda Tropeiro Velho IV e V;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Irrigação;Baixo;Alto;44452872;12;Amarelo;Verde;0,420;parcial;28,6;2;5;5;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";Alta Floresta;;1;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
35118;Barramento 05 - Fazenda Zeniiti III;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Aquicultura;Médio;Médio;4445546;5;Amarelo;Verde;0,370;insuficiente;13,5;2;3;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
35110;Barramento 10 - Fazenda Zeniiti III;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Aquicultura;Médio;Médio;4445546;5;Amarelo;Verde;0,370;insuficiente;13,5;2;3;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
35113;Barramento 12 - fazenda Zeniiti III;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Aquicultura;Médio;Médio;4445546;5;Amarelo;Verde;0,370;insuficiente;13,5;2;3;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
34519;Barramento 15 - Fazenda Zeniiti III;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Paisagismo;Médio;Alto;4445546;7;Amarelo;Verde;0,370;insuficiente;18,9;2;5;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
34520;Barramento 16 - Montante;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Aquicultura;Médio;Alto;4445546;7;Amarelo;Verde;0,370;insuficiente;18,9;2;5;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
34521;Barramento 17 (montante) - Fazenda Zeniiti III;Alta Floresta;MT - Secretaria de Estado do Meio Ambiente - SEMA;Aquicultura;Médio;Alto;4445546;7;Amarelo;Verde;0,370;insuficiente;18,9;2;5;0;0;não avaliado;;"R06;R10;R11";"B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;C7;D1;D2;D3;D4;D5;D6;D7;D8";;;0;0;0.1.0-metodologica;2026-07-30T09:54:46-04:00
