codigo_ibge;municipio;microrregiao;mesorregiao;regiao_imediata;regiao_intermediaria
5100102;Acorizal;Rosário Oeste;Centro-Sul Mato-grossense;Cuiabá;Cuiabá
5100250;Alta Floresta;Alta Floresta;Norte Mato-grossense;Alta Floresta;Sinop
5100300;Alto Araguaia;Alto Araguaia;Sudeste Mato-grossense;Rondonópolis;Rondonópolis
5100359;Alto Boa Vista;Norte Araguaia;Nordeste Mato-grossense;Confresa - Vila Rica;Barra do Garças
5100409;Alto Garças;Alto Araguaia;Sudeste Mato-grossense;Rondonópolis;Rondonópolis
5100508;Alto Paraguai;Alto Paraguai;Centro-Sul Mato-grossense;Diamantino;Cuiabá
5100607;Alto Taquari;Alto Araguaia;Sudeste Mato-grossense;Rondonópolis;Rondonópolis
5100805;Apiacás;Alta Floresta;Norte Mato-grossense;Alta Floresta;Sinop
5101001;Araguaiana;Médio Araguaia;Nordeste Mato-grossense;Barra do Garças;Barra do Garças
5101209;Araguainha;Tesouro;Sudeste Mato-grossense;Rondonópolis;Rondonópolis
5101258;Araputanga;Jauru;Sudoeste Mato-grossense;Mirassol D'oeste;Cáceres
5101308;Arenápolis;Alto Paraguai;Centro-Sul Mato-grossense;Diamantino;Cuiabá
5101407;Aripuanã;Aripuanã;Norte Mato-grossense;Juína;Sinop
5101704;Barra do Bugres;Tangará da Serra;Sudoeste Mato-grossense;Tangará da Serra;Cuiabá
5101803;Barra do Garças;Médio Araguaia;Nordeste Mato-grossense;Barra do Garças;Barra do Garças
5101605;Barão de Melgaço;Alto Pantanal;Centro-Sul Mato-grossense;Cuiabá;Cuiabá
5101837;Boa Esperança do Norte;;;Sorriso;Sinop
5101852;Bom Jesus do Araguaia;Norte Araguaia;Nordeste Mato-grossense;Confresa - Vila Rica;Barra do Garças
5101902;Brasnorte;Aripuanã;Norte Mato-grossense;Tangará da Serra;Cuiabá
5102603;Campinápolis;Canarana;Nordeste Mato-grossense;Água Boa;Barra do Garças
5102637;Campo Novo do Parecis;Parecis;Norte Mato-grossense;Tangará da Serra;Cuiabá
5102678;Campo Verde;Primavera do Leste;Sudeste Mato-grossense;Cuiabá;Cuiabá
5102686;Campos de Júlio;Parecis;Norte Mato-grossense;Pontes e Lacerda - Comodoro;Cáceres
5102694;Canabrava do Norte;Norte Araguaia;Nordeste Mato-grossense;Confresa - Vila Rica;Barra do Garças
5102702;Canarana;Canarana;Nordeste Mato-grossense;Água Boa;Barra do Garças
5102793;Carlinda;Alta Floresta;Norte Mato-grossense;Alta Floresta;Sinop
5102850;Castanheira;Aripuanã;Norte Mato-grossense;Juína;Sinop
5103007;Chapada dos Guimarães;Cuiabá;Centro-Sul Mato-grossense;Cuiabá;Cuiabá
5103056;Cláudia;Sinop;Norte Mato-grossense;Sinop;Sinop
5103106;Cocalinho;Médio Araguaia;Nordeste Mato-grossense;Água Boa;Barra do Garças
5103254;Colniza;Aripuanã;Norte Mato-grossense;Juína;Sinop
5103205;Colíder;Colíder;Norte Mato-grossense;Sinop;Sinop
5103304;Comodoro;Parecis;Norte Mato-grossense;Pontes e Lacerda - Comodoro;Cáceres
5103353;Confresa;Norte Araguaia;Nordeste Mato-grossense;Confresa - Vila Rica;Barra do Garças
5103361;Conquista D'Oeste;Alto Guaporé;Sudoeste Mato-grossense;Pontes e Lacerda - Comodoro;Cáceres
5103379;Cotriguaçu;Aripuanã;Norte Mato-grossense;Juína;Sinop
5103403;Cuiabá;Cuiabá;Centro-Sul Mato-grossense;Cuiabá;Cuiabá
5103437;Curvelândia;Alto Pantanal;Centro-Sul Mato-grossense;Cáceres;Cáceres
5102504;Cáceres;Alto Pantanal;Centro-Sul Mato-grossense;Cáceres;Cáceres
5103452;Denise;Tangará da Serra;Sudoeste Mato-grossense;Tangará da Serra;Cuiabá
5103502;Diamantino;Parecis;Norte Mato-grossense;Diamantino;Cuiabá
