codigo_ibge;municipio;populacao;ano_referencia;fonte;area_km2;densidade_hab_km2
5100102;Acorizal;5014;2022;censo_2022;;
5100250;Alta Floresta;58613;2022;censo_2022;;
5100300;Alto Araguaia;17193;2022;censo_2022;;
5100359;Alto Boa Vista;5715;2022;censo_2022;;
5100409;Alto Garças;13052;2022;censo_2022;;
5100508;Alto Paraguai;8009;2022;censo_2022;;
5100607;Alto Taquari;10904;2022;censo_2022;;
5100805;Apiacás;8590;2022;censo_2022;;
5101001;Araguaiana;3795;2022;censo_2022;;
5101209;Araguainha;1010;2022;censo_2022;;
5101258;Araputanga;14786;2022;censo_2022;;
5101308;Arenápolis;10576;2022;censo_2022;;
5101407;Aripuanã;24626;2022;censo_2022;;
5101704;Barra do Bugres;29403;2022;censo_2022;;
5101803;Barra do Garças;69210;2022;censo_2022;;
5101605;Barão de Melgaço;7253;2022;censo_2022;;
5101852;Bom Jesus do Araguaia;7280;2022;censo_2022;;
5101902;Brasnorte;17004;2022;censo_2022;;
5102603;Campinápolis;15347;2022;censo_2022;;
5102637;Campo Novo do Parecis;45899;2022;censo_2022;;
5102678;Campo Verde;44585;2022;censo_2022;;
5102686;Campos de Júlio;8822;2022;censo_2022;;
5102694;Canabrava do Norte;4485;2022;censo_2022;;
5102702;Canarana;25858;2022;censo_2022;;
5102793;Carlinda;10332;2022;censo_2022;;
5102850;Castanheira;7506;2022;censo_2022;;
5103007;Chapada dos Guimarães;18990;2022;censo_2022;;
5103056;Cláudia;9593;2022;censo_2022;;
5103106;Cocalinho;6220;2022;censo_2022;;
5103254;Colniza;25766;2022;censo_2022;;
5103205;Colíder;31370;2022;censo_2022;;
5103304;Comodoro;18238;2022;censo_2022;;
5103353;Confresa;35075;2022;censo_2022;;
5103361;Conquista D'Oeste;3760;2022;censo_2022;;
5103379;Cotriguaçu;11011;2022;censo_2022;;
5103403;Cuiabá;650877;2022;censo_2022;;
5103437;Curvelândia;4903;2022;censo_2022;;
5102504;Cáceres;89681;2022;censo_2022;;
5103452;Denise;7014;2022;censo_2022;;
5103502;Diamantino;21941;2022;censo_2022;;
5103601;Dom Aquino;7872;2022;censo_2022;;
5103700;Feliz Natal;10521;2022;censo_2022;;
5103809;Figueirópolis D'Oeste;3187;2022;censo_2022;;
5103858;Gaúcha do Norte;8642;2022;censo_2022;;
5103908;General Carneiro;6037;2022;censo_2022;;
5103957;Glória D'Oeste;2905;2022;censo_2022;;
5104104;Guarantã do Norte;31024;2022;censo_2022;;
5104203;Guiratinga;10966;2022;censo_2022;;
5104500;Indiavaí;2213;2022;censo_2022;;
5104526;Ipiranga do Norte;7815;2022;censo_2022;;
5104542;Itanhangá;7539;2022;censo_2022;;
5104559;Itaúba;5020;2022;censo_2022;;
5104609;Itiquira;12236;2022;censo_2022;;
5104807;Jaciara;28569;2022;censo_2022;;
5104906;Jangada;7426;2022;censo_2022;;
5105002;Jauru;8367;2022;censo_2022;;
5105101;Juara;34906;2022;censo_2022;;
5105176;Juruena;10213;2022;censo_2022;;
5105200;Juscimeira;11480;2022;censo_2022;;
5105150;Juína;45869;2022;censo_2022;;
5105234;Lambari D'Oeste;4790;2022;censo_2022;;
5105259;Lucas do Rio Verde;83798;2022;censo_2022;;
5105309;Luciara;2509;2022;censo_2022;;
5105580;Marcelândia;11396;2022;censo_2022;;
5105606;Matupá;20091;2022;censo_2022;;
5105622;Mirassol d'Oeste;26785;2022;censo_2022;;
5105903;Nobres;15492;2022;censo_2022;;
5106000;Nortelândia;5956;2022;censo_2022;;
5106109;Nossa Senhora do Livramento;12940;2022;censo_2022;;
5106158;Nova Bandeirantes;13635;2022;censo_2022;;
5106208;Nova Brasilândia;3932;2022;censo_2022;;
5106216;Nova Canaã do Norte;11707;2022;censo_2022;;
5108808;Nova Guarita;4590;2022;censo_2022;;
5106182;Nova Lacerda;6670;2022;censo_2022;;
5108857;Nova Marilândia;3529;2022;censo_2022;;
5108907;Nova Maringá;5846;2022;censo_2022;;
5108956;Nova Monte Verde;8313;2022;censo_2022;;
5106224;Nova Mutum;55839;2022;censo_2022;;
5106174;Nova Nazaré;4200;2022;censo_2022;;
5106232;Nova Olímpia;16352;2022;censo_2022;;
5106190;Nova Santa Helena;4239;2022;censo_2022;;
5106240;Nova Ubiratã;11530;2022;censo_2022;;
5106257;Nova Xavantina;24345;2022;censo_2022;;
5106273;Novo Horizonte do Norte;3349;2022;censo_2022;;
5106265;Novo Mundo;6520;2022;censo_2022;;
5106315;Novo Santo Antônio;2015;2022;censo_2022;;
5106281;Novo São Joaquim;6919;2022;censo_2022;;
5106307;Paranatinga;26423;2022;censo_2022;;
5106299;Paranaíta;11671;2022;censo_2022;;
5106372;Pedra Preta;18066;2022;censo_2022;;
5106422;Peixoto de Azevedo;32714;2022;censo_2022;;
5106455;Planalto da Serra;3166;2022;censo_2022;;
5106505;Poconé;31217;2022;censo_2022;;
5106653;Pontal do Araguaia;6932;2022;censo_2022;;
5106703;Ponte Branca;2008;2022;censo_2022;;
5106752;Pontes e Lacerda;52018;2022;censo_2022;;
