id_snisb;nome;municipio;raio_proxy_km;n_captacoes;n_escolas;n_ativos;servicos_essenciais_ameacados;captacao_ameacada;n_vias_malha;n_pontes;n_refs;isolamento_rodoviario;fonte
36539;Barramento Pé de Pequi I;Chapada dos Guimarães;8.0;3;0;0;0;Captação principal de sede municipal ou única captação;1;0;1;Rota única com desvio precário;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34040;CGH Oeiras - principal;Chapada dos Guimarães;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34041;CGH Portal do Vale - principal;Chapada dos Guimarães;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34042;CGH Vale do Roncador - principal;Chapada dos Guimarães;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
4931;PCH Casca II - B01 - CASCA I;Chapada dos Guimarães;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20618;PCH Casca II - B02 - Ponte Alta;Chapada dos Guimarães;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20617;PCH Casca III - Casca III;Chapada dos Guimarães;12.33;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34145;UHE Manso - Barragem da Margem Direita;Chapada dos Guimarães;34.17;3;1;3;4;Captação principal de sede municipal ou única captação;4;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34146;UHE Manso - Barragem da Margem Esquerda;Chapada dos Guimarães;34.17;3;1;3;4;Captação principal de sede municipal ou única captação;4;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
4436;UHE Manso - Barragem de Terra do Leito do Rio;Chapada dos Guimarães;34.17;3;1;3;4;Captação principal de sede municipal ou única captação;4;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20601;UHE Manso - Dique 2;Chapada dos Guimarães;34.17;3;1;3;4;Captação principal de sede municipal ou única captação;5;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20602;UHE Manso - Dique 3;Chapada dos Guimarães;34.17;3;1;3;4;Captação principal de sede municipal ou única captação;4;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20603;UHE Manso - Dique 4;Chapada dos Guimarães;34.17;3;1;3;4;Captação principal de sede municipal ou única captação;4;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20604;UHE Manso - Dique 5;Chapada dos Guimarães;34.17;3;1;3;4;Captação principal de sede municipal ou única captação;4;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20605;UHE Manso - Dique 6;Chapada dos Guimarães;34.17;2;1;3;4;Captação principal de sede municipal ou única captação;3;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20606;UHE Manso - Dique 7;Chapada dos Guimarães;34.17;2;1;3;4;Captação principal de sede municipal ou única captação;3;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34732;BARRAGEM 1;Cuiabá;8.0;5;0;0;0;Captação principal de sede municipal ou única captação;3;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34733;BARRAGEM 2 SUPERIOR;Cuiabá;8.0;3;0;0;0;Captação principal de sede municipal ou única captação;3;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34734;BARRAGEM 3;Cuiabá;8.0;4;1;0;1;Captação principal de sede municipal ou única captação;4;3;4;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
36515;BARRAGEM LAGOA TREVISAN;Cuiabá;8.0;59;50;11;61;Captação principal de sede municipal ou única captação;3;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35000;Barragem 01 - Fazenda 3 Irmãos;Cuiabá;8.0;3;0;1;1;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
32398;Barragem 02 – Fazenda 3 Irmãos;Cuiabá;8.0;4;0;1;1;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
32421;Barragem 03 – Fazenda 3 Irmãos;Cuiabá;8.0;3;0;1;1;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34731;Barragem 2  Principal;Cuiabá;8.0;5;1;0;1;Captação principal de sede municipal ou única captação;4;3;4;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
36689;Barragem I - Fazenda Pouso da Garça;Cuiabá;8.0;4;0;0;0;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
36690;Barragem II - Fazenda Pouso da Garça;Cuiabá;8.0;4;0;0;0;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
36691;Barragem III - Fazenda Pouso da Garça;Cuiabá;8.0;4;0;0;0;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
29377;Barragem MSJ;Cuiabá;8.0;2;1;0;1;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
8041;Barragem T04;Cuiabá;8.0;0;1;1;2;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26146;Barragem TB;Cuiabá;8.0;18;57;13;70;Captação principal de sede municipal ou única captação;4;4;4;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
31578;Barragem Taguá;Cuiabá;8.0;2;0;0;0;Captação principal de sede municipal ou única captação;2;1;2;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35023;Barramento - Mineração Casa de Pedra;Cuiabá;8.0;0;1;1;2;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
33960;Barramento 1 - Mangaba Urbanismo LTDA;Cuiabá;8.0;4;0;0;0;Captação principal de sede municipal ou única captação;3;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
