id_snisb;nome_barragem;municipio_sede;municipio_potencialmente_afetado;codigo_trecho_barragem;codigo_secao_controle_afetado;relacao_otto;idap;nivel;dano_potencial_associado
31228;Barragem na Fazenda dos Sonhos;Alto Araguaia;Ponte Branca;699924;699592;montante;7;Verde;Baixo
31228;Barragem na Fazenda dos Sonhos;Alto Araguaia;Ribeirãozinho;699924;69934;montante;7;Verde;Baixo
31228;Barragem na Fazenda dos Sonhos;Alto Araguaia;Torixoréu;699924;69934;montante;7;Verde;Baixo
24104;CGH Alto Garças - ALTO GARÇAS;Alto Araguaia;Ponte Branca;699766;699592;montante;6;Verde;Baixo
24104;CGH Alto Garças - ALTO GARÇAS;Alto Araguaia;Ribeirãozinho;699766;69934;montante;6;Verde;Baixo
24104;CGH Alto Garças - ALTO GARÇAS;Alto Araguaia;Torixoréu;699766;69934;montante;6;Verde;Baixo
24105;CGH Araguaia - ARAGUAIA;Alto Araguaia;Ponte Branca;699766;699592;montante;6;Verde;Baixo
24105;CGH Araguaia - ARAGUAIA;Alto Araguaia;Ribeirãozinho;699766;69934;montante;6;Verde;Baixo
24105;CGH Araguaia - ARAGUAIA;Alto Araguaia;Torixoréu;699766;69934;montante;6;Verde;Baixo
24106;CGH Araguainha - ARAGUAINHA;Alto Araguaia;Ponte Branca;699766;699592;montante;6;Verde;Baixo
24106;CGH Araguainha - ARAGUAINHA;Alto Araguaia;Ribeirãozinho;699766;69934;montante;6;Verde;Baixo
24106;CGH Araguainha - ARAGUAINHA;Alto Araguaia;Torixoréu;699766;69934;montante;6;Verde;Baixo
8122;Barramento Atto Agropecuária LTDA;Alto Garças;Guiratinga;8964878;8964878;mesmo trecho;8;Verde;Médio
4518;PCH Ombreiras - Ombreiras;Araputanga;Jauru;8994;8994;mesmo trecho;11;Verde;Alto
26655;Fazenda Bacurí;Arenápolis;Barra do Bugres;899994;8999194;montante;9;Verde;Baixo
27403;Fazenda Fortaleza;Arenápolis;Barra do Bugres;8999492;8999194;montante;7;Verde;Baixo
35379;Barragem Fazenda Belo Horizonte;Barra do Garças;Novo São Joaquim;687336;6873132;montante;6;Verde;Baixo
35072;Barramento - Fazenda Belo Horizonte;Barra do Garças;Novo São Joaquim;687336;6873132;montante;8;Verde;Baixo
35076;Barramento - Fazenda Belo Horizonte II;Barra do Garças;Novo São Joaquim;687336;6873132;montante;7;Verde;Baixo
37458;Fazenda Mundo Novo - Reservatório Pulmão 1;Boa Esperança do Norte;Alta Floresta;44492;44452872;montante;9;Verde;Baixo
37458;Fazenda Mundo Novo - Reservatório Pulmão 1;Boa Esperança do Norte;Carlinda;44492;44457212;montante;9;Verde;Baixo
37458;Fazenda Mundo Novo - Reservatório Pulmão 1;Boa Esperança do Norte;Itaúba;44492;444762;montante;9;Verde;Baixo
37458;Fazenda Mundo Novo - Reservatório Pulmão 1;Boa Esperança do Norte;Nova Canaã do Norte;44492;44473332;montante;9;Verde;Baixo
37458;Fazenda Mundo Novo - Reservatório Pulmão 1;Boa Esperança do Norte;Sinop;44492;4447944;montante;9;Verde;Baixo
37458;Fazenda Mundo Novo - Reservatório Pulmão 1;Boa Esperança do Norte;Vera;44492;4449162;montante;9;Verde;Baixo
37539;Fazenda Prediger III;Boa Esperança do Norte;Alta Floresta;44492;44452872;montante;9;Verde;Baixo
37539;Fazenda Prediger III;Boa Esperança do Norte;Carlinda;44492;44457212;montante;9;Verde;Baixo
37539;Fazenda Prediger III;Boa Esperança do Norte;Itaúba;44492;444762;montante;9;Verde;Baixo
37539;Fazenda Prediger III;Boa Esperança do Norte;Nova Canaã do Norte;44492;44473332;montante;9;Verde;Baixo
37539;Fazenda Prediger III;Boa Esperança do Norte;Sinop;44492;4447944;montante;9;Verde;Baixo
37539;Fazenda Prediger III;Boa Esperança do Norte;Vera;44492;4449162;montante;9;Verde;Baixo
26442;Fazenda Cristalina;Campo Verde;Dom Aquino;689992;689912;montante;6;Verde;Baixo
31541;Barramento principal (1A);Carlinda;Alta Floresta;4447334;44452872;montante;10;Verde;Baixo
