area_calc_ha;area_hectare_declarada;capacidade;cd_sipra;data_de_criacao;data_obtencao;descricao_fase;fase;forma_obtencao;gid;municipio;nome_projeto;num_familias;sr
35017.2604;35000.0000;775;MT0203000;29/12/1997;16/01/1997;;5;Desapropriação;17997;PARANAITA;PA SÃO PEDRO;772;
;1549.4342;57;MT0806000;15/03/2007;28/09/2004;;3;Compra e Venda;21081;NOVA OLIMPIA;PA USIEL PEREIRA;57;
;17700.7379;346;MT0057000;10/06/1992;22/04/1991;;3;Doação;21082;COLNIZA;PA PERSEVERANÇA PACUTINGA;317;
;1649.2222;72;MT0261000;14/12/1998;04/12/1998;;6;Compra e Venda;21135;SAO JOSE DO POVO;PA SANDRINI;70;
;8988.6722;270;MT0950000;21/08/2018;26/12/2013;;3;Desapropriação;21142;BARRA DO GARCAS;PA PASSA VINTE;0;
18111.0994;18131.6997;266;MT0017000;11/12/1986;25/02/1986;;6;Desapropriação;7979;NOVA LACERDA;PA SARARÉ;254;
23257.9881;22674.0974;325;MT0026000;21/05/1987;11/03/1987;;3;Arrecadação;11471;PEIXOTO DE AZEVEDO;PA ETA;304;
9356.0970;9481.6913;131;MT0066000;10/01/1995;02/10/1989;;3;Desapropriação;17980;NOVA NAZARE;PA PONTAL;123;
7274.5315;7029.4470;203;MT0689000;12/12/2003;25/02/2003;;3;Desapropriação;4067;BARRA DO BUGRES;PA CABAÇAS;176;
24832.8588;24835.4432;570;MT0845000;16/11/2009;18/12/2008;;3;Desapropriação;17973;RIBEIRAO CASCALHEIRA;PA SANTA RITA;279;
2603.1386;2497.4687;54;MT0808000;02/08/2010;18/05/2006;;3;Desapropriação;18012;UNIAO DO SUL;PDS SONHO DE ANDERSON;64;
27635.5990;28995.6065;360;MT0265000;31/12/1998;12/08/1998;;3;Desapropriação;18015;NOVA MUTUM;PA PONTAL DO MARAPE;360;
3840.4188;3983.0000;68;MT0108000;14/12/1995;25/01/1985;;6;Desapropriação;2063;MIRASSOL D'OESTE;PA PROVIDÊNCIA - I;67;
12466.4539;12420.4855;245;MT0307000;28/01/1999;10/02/1998;;3;Desapropriação;11654;COLNIZA;PA NATAL;216;
22823.1450;22538.3847;212;MT0067000;10/01/1995;16/11/1985;;3;Desapropriação;17966;CONFRESA;PA PIRACICABA;215;
15129.9849;15057.9595;232;MT0028000;28/05/1987;16/12/1986;;3;Desapropriação;16019;AGUA BOA;PA JATOBAZINHO;219;
1589.0678;2124.3500;37;MT0129000;29/12/1995;03/03/1980;;3;Arrecadação;4400;NOVO MUNDO;PA CASTANHAL;22;
1215.3215;1216.9924;20;MT0821000;28/03/2011;09/11/2007;;3;Compra e Venda;9859;CLAUDIA;PDS TERRA DE VIVER;15;
27934.8399;27464.6994;400;MT0818000;09/11/2007;24/11/2005;;3;Desapropriação;20601;ARIPUANA;PA MEDALHA MILAGROSA;187;
7985.6431;7790.8328;95;MT0731000;25/05/2005;25/05/2005;;3;Arrecadação;11589;PEIXOTO DE AZEVEDO;PA ANTONIO SOARES;94;
1605.8868;1597.5318;27;MT0667000;24/11/2003;24/11/2003;;6;Arrecadação;4436;NOVA MUTUM;PA RIBEIRÃO GRANDE - III;39;
2529.2393;6300.0000;90;MT0262000;10/12/1999;22/12/1997;;4;Desapropriação;4810;NOVA OLIMPIA;PA RIO BRANCO;85;
1512.6121;1043.0000;73;MT0050000;06/10/1988;02/05/1986;;3;Desapropriação;20484;NOBRES;PA SERRAGEM;67;
29658.0706;8273.1815;115;MT0140000;24/05/1996;24/05/1996;;3;Arrecadação;19058;GUARANTA DO NORTE;PA HORIZONTE II;72;
1073.1515;1050.5363;38;MT0642000;10/09/2003;18/07/2002;;3;Desapropriação;4437;PRIMAVERA DO LESTE;PA BR-070;32;
6891.0384;6829.6219;200;MT0853000;11/06/2012;30/06/2010;;3;Desapropriação;9868;CANARANA;PA GUATAPARA;118;
6536.2895;6422.8600;240;MT0187000;24/10/1997;18/07/1996;;3;Desapropriação;10967;VILA BELA DA SANTISSIMA TRINDADE;PA SERINGAL;225;
10213.3266;10216.3717;130;MT0088000;27/09/1995;03/03/1980;;4;Arrecadação;12482;NOVO MUNDO;PA COTREL;121;
1045.6452;1043.7025;35;MT0702000;29/03/2004;25/03/2004;;3;Desapropriação;11879;PEDRA PRETA;PA FREI SERVACIO SCHULT;35;
11777.2807;11749.1643;375;MT0111000;14/12/1995;20/12/1994;;6;Desapropriação;497;MARCELANDIA;PA BONJAGUÁ;362;
1276.3093;1276.7043;80;MT0640000;09/09/2003;05/08/2001;;3;Desapropriação;4070;PEIXOTO DE AZEVEDO;PA BELMONTE;36;
8308.3620;7500.0000;200;MT0022000;01/04/1987;26/06/1986;;5;Desapropriação;8593;PONTES E LACERDA;PA CORONEL ARI;138;
796.6064;659.8400;25;MT0746000;17/11/2005;17/11/2005;;3;Desapropriação;4250;NOVA MARINGA;PA SANTO ANTONIO;11;
3117.9411;3152.4340;120;MT0228000;06/07/1998;04/12/1997;;4;Desapropriação;2232;SAO JOSE DO POVO;PA PADRE JOSIMO TAVARES;115;
7952.8983;8002.9772;51;MT0125000;29/12/1995;29/12/1995;;7;Desapropriação;2175;SAO JOSE DO XINGU;PA YAMIN;94;
4347.1768;4796.9832;107;MT0087000;27/09/1995;16/01/1979;;7;Arrecadação;2061;TERRA NOVA DO NORTE;PA UNIÃO DE TODOS;104;
8237.9661;8193.9839;128;MT0084000;01/09/1995;21/06/1994;;3;Desapropriação;2044;NOVA XAVANTINA;PA RANCHO AMIGO;115;
63289.0901;63249.0740;1063;MT0167000;27/11/1997;06/09/1996;;3;Desapropriação;10838;TABAPORA;PA MERCEDES BENS I E II;1010;
28343.0136;27583.0171;139;MT0068000;10/01/1995;17/05/1984;;7;Desapropriação;19976;SAO FELIX DO ARAGUAIA;PA AZULONA GAMELEIRA;132;
950.1895;949.6580;23;MT0820000;05/10/2010;17/03/2008;;3;Compra e Venda;9861;UNIAO DO SUL;PDS NOVO RENASCER;21;
4184.0790;4183.8386;64;MT0120000;29/12/1995;24/03/1985;;7;Desapropriação;2172;CONFRESA;PA PORTO ESPERANÇA;61;
2134.3413;2125.0000;28;MT0016000;08/08/1986;07/05/1981;;3;Arrecadação;4169;GENERAL CARNEIRO;PA MORRINHO;27;
1342.9417;1352.2550;60;MT0294000;28/12/1998;16/07/1998;;3;Desapropriação;17961;NOVO SAO JOAQUIM;PA TAMBORIL;58;
15744.6142;15742.3372;172;MT0064000;10/01/1995;26/10/1993;;7;Desapropriação;2055;QUERENCIA;PA COUTINHO UNIÃO;171;
9010.8874;9073.0000;170;MT0241000;28/07/1999;10/12/1998;;3;Desapropriação;17945;SAO JOSE DO XINGU;PA BRASIPAIVA;146;
1733.6127;1621.0400;40;MT0822000;18/01/2012;24/10/2007;;3;Desapropriação;18001;UNIAO DO SUL;PDS FREI CRISPIN;10;
913.8020;948.0000;17;MT0043000;17/09/1987;12/11/1986;;3;Desapropriação;1975;PLANALTO DA SERRA;PA VINAGRE LOTE 31;12;
2407.8723;2407.4621;47;MT0198000;19/12/1997;05/12/1996;;3;Desapropriação;17675;CACERES;PA RANCHO DA SAUDADE;45;
3082.3500;8098.6450;450;MT0346000;17/03/2000;18/10/1999;;3;Desapropriação;11043;NOVA MONTE VERDE;PA MONTE VERDE;123;
3110.0673;3107.7993;71;MT0247000;24/02/1999;30/04/1998;;6;Desapropriação;11090;TAPURAH;PA SANTA LUZIA I;67;
1448.7335;1486.7150;25;MT0824000;27/12/2011;22/12/2003;;3;Desapropriação;18005;UNIAO DO SUL;PDS OLGA BENARIO;29;
5890.7320;5806.7700;169;MT0014000;05/06/1986;05/02/1985;;7;Desapropriação;18040;ALTO PARAGUAI;PA CAPÃO VERDE;153;
13342.7854;13272.4503;219;MT0123000;29/12/1995;05/05/1980;;3;Arrecadação;2174;GUARANTA DO NORTE;PA CACHOEIRA DA UNIÃO;143;
1967.2344;4123.9734;67;MT0735000;28/05/2005;28/05/2005;;6;Arrecadação;5960;PORTO ALEGRE DO NORTE;PA UIRAPURU;66;
1528.9287;1528.6940;75;MT0109000;19/12/1995;25/10/1985;;7;Desapropriação;2048;CURVELANDIA;PA PROVIDÊNCIA III;74;
24967.1018;31273.3432;630;MT0349000;28/02/2000;23/11/1999;;4;Desapropriação;11549;CONFRESA;PA SÃO VICENTE;365;
3725.1919;3493.0000;51;MT0248000;28/12/1998;13/04/1998;;3;Desapropriação;9415;IPIRANGA DO NORTE;PA CRISTALMEL;51;
4508.4957;4505.3635;104;MT0610000;11/09/2002;11/09/2002;;3;Arrecadação;10900;ROSARIO OESTE;PA NOSSA SENHORA DA ESPERANÇA;104;
855.9321;826.0000;27;MT0151000;09/01/1997;26/12/1995;;6;Compra e Venda;3721;RONDONOPOLIS;PA SANTA LUZIA;26;
4031.2342;4065.0000;45;MT0090000;06/12/1995;08/11/1994;;3;Desapropriação;2263;CHAPADA DOS GUIMARAES;PA PRAIA RICA;43;
14493.7523;14616.6164;186;MT0169000;02/12/1996;09/05/1996;;3;Desapropriação;2071;RIBEIRAO CASCALHEIRA;PA CANCELA;168;
3143.9850;3075.0765;99;MT0303000;24/02/1999;06/10/1998;;3;Desapropriação;16029;RONDONOPOLIS;PA 17 DE MARÇO;95;
114463.1093;115035.0000;1149;MT0127000;29/12/1995;29/01/1995;;7;Desapropriação;18017;TAPURAH;PA TAPURAH/ITANHANGA;1124;
9264.3483;9259.9533;108;MT0737000;09/09/2005;09/09/2005;;3;Arrecadação;18234;PEIXOTO DE AZEVEDO;PA VIDA NOVA II;87;
4425.3766;4536.2487;60;MT0142000;25/07/1996;24/03/1995;;6;Desapropriação;1722;VILA RICA;PA COLONIA BOM JESUS;62;
3447.8336;3445.1365;48;MT0189000;13/11/1997;25/11/1996;;3;Desapropriação;2229;TAPURAH;PA BONANZA;43;
60.0865;60.1254;14;MT0855000;19/03/2012;03/06/1998;;3;Compra e Venda;9843;PONTES E LACERDA;PA BARRA DO MARCO II;13;
5674.5371;6206.8531;118;MT0079000;15/08/1995;05/11/1986;;3;Desapropriação;17990;NOVA CANAA DO NORTE;PA AVAÍ;114;
1141.9452;1148.2211;26;MT0854000;28/11/2011;18/05/2006;;3;Desapropriação;18053;SANTO ANTONIO DO LEVERGER;PA PAU DALHO;26;
4162.9991;3528.0000;117;MT0071000;23/02/1995;12/12/1989;;3;Desapropriação;219;COMODORO;PA GRANJA;115;
2431.4991;2433.1948;87;MT0838000;22/09/2009;28/03/2008;;3;Compra e Venda;9867;GAUCHA DO NORTE;PDS NOVA ALIANÇA;79;
13607.0062;13607.6714;439;MT0634000;24/04/2003;24/04/2003;;3;Compra e Venda;16030;CACERES;PA SADIA VALE VERDE;428;
1102.4510;1081.9170;25;MT0621000;30/11/2002;30/11/2002;;3;Arrecadação;2146;DIAMANTINO;PA RIO PRETO;12;
