ref;nome;highway;bridge;jurisdicao;km_aprox;latitude;longitude;osm_id;fonte;observacao
BR-070;BR-070;trunk;sim;federal;188.0;-15.679166;-56.296407;139293283;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-040;MT-040;secondary;sim;estadual;169.4;-16.198860;-55.810747;31568045;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-343;MT-343;primary;sim;estadual;159.38;-14.712425;-57.040196;31551831;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
"BR-163;BR-364";"BR-163;BR-364";trunk;sim;federal;156.93;-15.592069;-56.231306;28997331;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-246;MT-246;primary;sim;estadual;150.45;-15.119613;-57.131925;31551758;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-241;Avenida Marzagão;secondary;sim;estadual;117.7;-14.720376;-56.314520;31553451;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
"BR-070;BR-163;BR-364";Avenida Ayrton Senna da Silva;motorway;sim;federal;99.56;-15.663976;-55.965601;28997066;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-010;Rodovia Deputado Ary Leite de Campos;primary;sim;estadual;88.46;-14.824217;-56.427215;31553533;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-060;Rodovia Governador José Monteiro de Figueiredo;primary;sim;estadual;86.06;-15.769696;-56.347999;31554718;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-351;Avenida Alzira Santana;secondary;sim;estadual;85.66;-15.656021;-56.137583;32957073;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
"BR-163;BR-364;MT-010";"BR-163;BR-364;MT-010";trunk;sim;federal_estadual;77.36;-14.723833;-56.318425;43999343;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-361;Rodovia Ugo Padilha;secondary;nao;estadual;65.51;-15.963207;-55.676303;31553038;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-247;Avenida Pedro de Campos Borges;secondary;sim;estadual;63.4;-15.071202;-57.187168;31553650;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-020;Rodovia Emanuel Pinheiro;primary;sim;estadual;55.69;-15.490818;-56.061667;33853304;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-408;Caminhões Carregados UISA;secondary;sim;estadual;53.9;-14.805100;-57.259240;97843244;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-451;MT-451;primary;sim;estadual;50.04;-16.044390;-56.871240;28996480;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
"BR-070;MT-407";Rodovia dos Imigrantes;trunk;sim;federal_estadual;44.8;-15.649318;-56.000640;28997067;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-358;MT-358;primary;sim;estadual;43.78;-14.848674;-57.219890;31551770;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
