id_snisb;nome;municipio;n_ok;n_atencao;n_nao;n_lacuna;n_lacunas_criticas;pae_01;pae_04_zas
31990;1A;Alta Floresta;0;0;2;6;8;lacuna;lacuna
31977;2B;Alta Floresta;0;0;2;6;8;lacuna;lacuna
20196;Afluente do Pitomba;Várzea Grande;0;0;2;6;8;lacuna;lacuna
36475;Agropecuária Madeirinha ? Barramento;Colniza;0;0;2;6;8;lacuna;lacuna
8106;Assentamento Tio Elias;Itiquira;0;0;2;6;8;lacuna;lacuna
26334;Associação dos Trabalhadores Rurais do Projeto de Assentamento Mãe Maria Núcleo Imbu e Vizinhos - ITOG;São Félix do Araguaia;0;0;2;6;8;lacuna;lacuna
29889;B2;Araguaiana;0;0;2;6;8;lacuna;lacuna
29894;B3;Araguaiana;0;0;2;6;8;lacuna;lacuna
35637;BA-01;Nossa Senhora do Livramento;0;0;2;6;8;lacuna;lacuna
32071;BARRAGEM 03;Ribeirão Cascalheira;0;0;2;6;8;lacuna;lacuna
28918;BARRAGEM 03;Santa Cruz do Xingu;0;0;2;6;8;lacuna;lacuna
34732;BARRAGEM 1;Cuiabá;0;0;2;6;8;lacuna;lacuna
28863;BARRAGEM 13;Santa Cruz do Xingu;0;0;2;6;8;lacuna;lacuna
34733;BARRAGEM 2 SUPERIOR;Cuiabá;0;0;2;6;8;lacuna;lacuna
34734;BARRAGEM 3;Cuiabá;0;0;2;6;8;lacuna;lacuna
36541;BARRAGEM ANGICO;Vila Rica;0;0;2;6;8;lacuna;lacuna
35232;BARRAGEM CRUZEIRO DO SUL 2;Tabaporã;0;0;2;6;8;lacuna;lacuna
35857;BARRAGEM FORTALEZA;Nova Lacerda;0;0;2;6;8;lacuna;lacuna
36570;BARRAGEM I;Ribeirão Cascalheira;0;0;2;6;8;lacuna;lacuna
36494;BARRAGEM IBF;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
35109;BARRAGEM II;Querência;0;0;2;6;8;lacuna;lacuna
36515;BARRAGEM LAGOA TREVISAN;Cuiabá;0;0;2;6;8;lacuna;lacuna
32118;BARRAGEM NA FAZENDA WENTZ;Querência;0;0;2;6;8;lacuna;lacuna
32029;BARRAGEM NA FAZENDA ÁGUA SANTA II;Lucas do Rio Verde;0;0;2;6;8;lacuna;lacuna
31468;BARRAGEM PRINCIPAL;Sorriso;0;0;2;6;8;lacuna;lacuna
35253;BARRAGEM PRINCIPAL 1A;Canarana;0;0;2;6;8;lacuna;lacuna
35119;BARRAGEM ROSA CRISTINA I;Várzea Grande;0;0;2;6;8;lacuna;lacuna
35629;BARRAGEM SM3;Itiquira;0;0;2;6;8;lacuna;lacuna
35170;BARRAGEM SÃO JOSÉ I;Querência;0;0;2;6;8;lacuna;lacuna
35650;BARRAGEM SÃO JOSÉ II;Querência;0;0;2;6;8;lacuna;lacuna
36068;BARRAGEM TRIUNFO IV;Nova Lacerda;0;0;2;6;8;lacuna;lacuna
35164;BARRAGEM TROJAN;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
31563;BARRAGEM URUTAU;Barra do Garças;0;0;2;6;8;lacuna;lacuna
35114;BARRAGEM XI - DO PERERECA;Querência;0;0;2;6;8;lacuna;lacuna
35155;BARRAMENTO I;Guarantã do Norte;0;0;2;6;8;lacuna;lacuna
35177;BARRAMENTO PRINCIPAL FAZ. REUNIDAS SÃO ROBERTO;Vera;0;0;2;6;8;lacuna;lacuna
21862;BONANZA;Alta Floresta;0;0;2;6;8;lacuna;lacuna
5891;Balneário Boa Esperança;Sorriso;0;0;2;6;8;lacuna;lacuna
35193;Barragem - Fazenda Jaçanã;Vera;0;0;2;6;8;lacuna;lacuna
35000;Barragem 01 - Fazenda 3 Irmãos;Cuiabá;0;0;2;6;8;lacuna;lacuna
33352;Barragem 01 – Fazenda Esplanada;São Félix do Araguaia;0;0;2;6;8;lacuna;lacuna
31371;Barragem 01 – Fazenda Ubatuba;São José do Xingu;0;0;2;6;8;lacuna;lacuna
