REGIÃO;UF;MUNICÍPIO;CÓDIGO DO IBGE;COMUNIDADE;Nº PROCESSO NA FCP;DATA DA ABERTURA;Nº DO LIVRO DE REGISTRO;Nº DO REGISTRO;Nº DA FOLHA;Nº DA PORTARIA;DATA DA PORTARIA NO DOU;RETIFICAÇÃO NO DOU;Nº PROCESSO INCRA;ETAPA DO PROCESSO DE TITULAÇÃO;Nº DE COMUNIDADES;Nº DE MORADORES;URBANA/RURAL;ANO CERTIFICAÇÃO;PORTA DE ENTRADA;CONT
CENTRO-OESTE;MT;CHAPADA DOS GUIMARÃES;5103007;LAGOINHA DE BAIXO;01420.000844/2005-95;23/08/2005;3;211;17;23/2005;25/05/2005;;54240.002141/2005-86;DECRETO NO DOU;1;50;;2005;;1
CENTRO-OESTE;MT;CHAPADA DOS GUIMARÃES;5103007;ITAMBÉ;01420.000845/2005-30;23/08/2005;3;212;18;23/2005;25/05/2005;;54240.005178/2005-66;;1;;;2005;;1
CENTRO-OESTE;MT;CHAPADA DOS GUIMARÃES;5103007;LAGOINHA DE CIMA;01420.000846/2005-84;29/04/2005;3;213;19;23/2005;25/05/2005;;54240.005177/2005-11;;1;;;2005;;1
CENTRO-OESTE;MT;POCONÉ;5106505;CURRALINHO;01420.001789/2005-51;03/08/2005;4;329;36;37/2005;12/09/2005;;54240.005267/2005-11;;1;;R;2005;;1
CENTRO-OESTE;MT;POCONÉ;5106505;RETIRO;01420.001790/2005-85;03/08/2005;4;330;37;37/2005;12/09/2005;;54240.005277/2005-48;;1;;;2005;;1
CENTRO-OESTE;MT;POCONÉ;5106505;SÃO BENEDITO;01420.001791/2005-20;03/08/2005;4;331;38;37/2005;12/09/2005;;54240.005266/2005-68;;1;;R;2005;;1
CENTRO-OESTE;MT;POCONÉ;5106505;CANTO DO AGOSTINHO;01420.001792/2005-74;03/08/2005;4;332;39;37/2005;12/09/2005;;54240.005268/2005-57;;1;;;2005;;1
CENTRO-OESTE;MT;POCONÉ;5106505;CHUMBO;01420.001793/2005-19;03/08/2005;4;333;40;37/2005;12/09/2005;;54240.005280/2005-61;;1;;R;2005;;1
CENTRO-OESTE;MT;POCONÉ;5106505;VARAL;01420.001799/2005-96;03/08/2005;4;334;41;37/2005;12/09/2005;;54240.005247/2005-31;;1;;;2005;;1
CENTRO-OESTE;MT;POCONÉ;5106505;LARANJAL;01420.001798/2005-41;03/08/2005;4;335;42;37/2005;12/09/2005;;54240.005236/2005-51;;1;1;R;2005;;1
CENTRO-OESTE;MT;POCONÉ;5106505;CAMPINA DE PEDRA;01420.001797/2005-05;03/08/2005;4;336;43;37/2005;12/09/2005;;54240.005272/2005-15;RTID;1;45;R;2005;;1
CENTRO-OESTE;MT;POCONÉ;5106505;PASSAGEM DE CARRO;01420.001796/2005-52;03/08/2005;4;337;44;37/2005;12/09/2005;;54240.005271/2005-71;;1;;;2005;;1
