id_snisb;nome;municipio_sede;regiao_saude;perfil_sanitario;idap;nivel;completude;confiabilidade;pontos_a;pontos_b;pontos_c;pontos_d;alertavel;area_estimada_km2;populacao_estimada;metodo_populacao;chuva_24h_mm;chuva_72h_mm;saturacao_antecedente;nivel_alerta_hidro;aproximacao_espacial;municipios_potencialmente_afetados;arquivo_alerta;resumo;instante
5563;Santa Maria;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;30;Amarelo;0,680;parcial;5;15;8;2;não;0,09;14;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_5563.txt;Santa Maria (Nossa Senhora do Livramento) — IDAP 30/100 — Amarelo: atenção — completude 68% (parcial);2026-07-30T09:58:09-04:00
5603;Barragem de Rejeitos Bom Futuro;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;31;Amarelo;0,680;parcial;5;15;9;2;não;0,33;51;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_5603.txt;Barragem de Rejeitos Bom Futuro (Nossa Senhora do Livramento) — IDAP 31/100 — Amarelo: atenção — completude 68% (parcial);2026-07-30T09:58:09-04:00
5559;Barragem de Rejeito Estrela 03;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;27;Amarelo;0,630;parcial;5;12;8;2;não;0,17;27;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_5559.txt;Barragem de Rejeito Estrela 03 (Nossa Senhora do Livramento) — IDAP 27/100 — Amarelo: atenção — completude 63% (parcial);2026-07-30T09:58:09-04:00
5560;Barragem de Rejeito Estrela;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;27;Amarelo;0,630;parcial;5;12;8;2;não;0,26;40;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_5560.txt;Barragem de Rejeito Estrela (Nossa Senhora do Livramento) — IDAP 27/100 — Amarelo: atenção — completude 63% (parcial);2026-07-30T09:58:09-04:00
5562;Barragem de Rejeito Estrela 02;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;27;Amarelo;0,630;parcial;5;12;8;2;não;0,07;11;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_5562.txt;Barragem de Rejeito Estrela 02 (Nossa Senhora do Livramento) — IDAP 27/100 — Amarelo: atenção — completude 63% (parcial);2026-07-30T09:58:09-04:00
5573;BR SANTA 01;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;27;Amarelo;0,680;parcial;5;11;9;2;não;0,38;59;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_5573.txt;BR SANTA 01 (Nossa Senhora do Livramento) — IDAP 27/100 — Amarelo: atenção — completude 68% (parcial);2026-07-30T09:58:09-04:00
21940;BR PIRÂMIDE;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;21;Amarelo;0,680;parcial;5;6;8;2;não;0,22;35;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_21940.txt;BR PIRÂMIDE (Nossa Senhora do Livramento) — IDAP 21/100 — Amarelo: atenção — completude 68% (parcial);2026-07-30T09:58:09-04:00
26138;Barragem Serrinha;Cuiabá;Baixada Cuiabana;rejeito;21;Amarelo;0,680;parcial;5;6;8;2;não;0,05;7;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_26138.txt;Barragem Serrinha (Cuiabá) — IDAP 21/100 — Amarelo: atenção — completude 68% (parcial);2026-07-30T09:58:09-04:00
586;BR BOSCO;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;22;Amarelo;0,680;parcial;5;6;9;2;não;0,5;77;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_586.txt;BR BOSCO (Nossa Senhora do Livramento) — IDAP 22/100 — Amarelo: atenção — completude 68% (parcial);2026-07-30T09:58:09-04:00
588;BR SANTA FELICIDADE;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;21;Amarelo;0,680;parcial;5;6;8;2;não;0,2;32;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_588.txt;BR SANTA FELICIDADE (Nossa Senhora do Livramento) — IDAP 21/100 — Amarelo: atenção — completude 68% (parcial);2026-07-30T09:58:09-04:00
22009;BR SANTA FELICIDADE 02;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;19;Verde;0,680;parcial;5;4;8;2;não;0,08;13;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_22009.txt;BR SANTA FELICIDADE 02 (Nossa Senhora do Livramento) — IDAP 19/100 — Verde: normalidade — completude 68% (parcial);2026-07-30T09:58:09-04:00
8006;VALE DOURADO;Rosário Oeste;Baixada Cuiabana;rejeito;19;Verde;0,650;parcial;4;6;8;1;não;0,03;3;area_x_densidade;0.1;0.2;0,1850;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Rosário Oeste | Várzea Grande;alertas/piloto/verde_8006.txt;VALE DOURADO (Rosário Oeste) — IDAP 19/100 — Verde: normalidade — completude 65% (parcial);2026-07-30T09:58:09-04:00
26131;BARRAGEM JVR;Cuiabá;Baixada Cuiabana;rejeito;18;Amarelo;0,630;parcial;5;3;8;2;não;0,1;16;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_26131.txt;BARRAGEM JVR (Cuiabá) — IDAP 18/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 63% (parcial);2026-07-30T09:58:09-04:00
26146;Barragem TB;Cuiabá;Baixada Cuiabana;rejeito;19;Amarelo;0,650;parcial;5;4;9;1;não;0,38;59;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_26146.txt;Barragem TB (Cuiabá) — IDAP 19/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 65% (parcial);2026-07-30T09:58:09-04:00
