id_snisb;nome_powerbi;municipio_powerbi;comprimento_coroamento_m;altura_estimada_m;capacidade_estimada_m3;data_ultima_fiscalizacao;data_ultima_autuacao;data_inicio_fase_de_vida;data_inspecao_seguranca_regular;tipo_empreendedor;corpo_hidrico;data_atualizacao_registro;situacao_cadastro
1263;B5;NOVA LACERDA;741.25;0;0;2024-11-06;2021-12-10;2005-11-05;;;Barragem B5;;Classe II B - Inertes
1265;Bacia de Rejeitos;NOSSA SENHORA DO LIVRAMENTO;15470;0;0;2026-04-29;2022-01-31;2021-12-14;;;Córrego Barbeiro;2026-06-23;Classe II B - Inertes
1267;BACIA DE REJEITO MINERGOLD;NOSSA SENHORA DO LIVRAMENTO;1185;0;0;;;2013-06-01;;;Bacia de Rejeito Minergold;;Classe II B - Inertes
1276;RONDON;Poconé;250;0;0;2023-03-15;;2009-02-19;;Pessoa Física;Córrego Piraputanga;;Classe II B - Inertes
1279;BARRAGEM T01;Poconé;2005;0;0;2023-09-20;2020-04-30;2008-03-20;;Pessoa Física;Córrego da Formiga;;Classe II B - Inertes
1282;TB01;NOSSA SENHORA DO LIVRAMENTO;908;0;0;2024-04-17;2020-03-31;2021-08-10;;;Ribeirão Bento Gomes;2025-01-23;Classe II B - Inertes
19850;Faz. Netolândia;Tangará da Serra;57.35;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;2025-01-24;
19946;Faz. Toledo;TAPURAH;266;;;;;1800-01-01T00:00:00;;Pessoa Física;Córrego Esmeralda;;
19952;Faz. Reunidas 15;PARANATINGA;404.6;0;0;;;2019-02-02;;Pessoa Física;SEM NOME;2025-01-27;
19966;Fazenda AFB Brasil;Barra do Garças;245;0;0;;;2008-08-02;;Empresas em Geral - Privado;SEM NOME;;
19967;Fazenda AFB Brasil;Barra do Garças;245;;;;;2008-08-02;;Empresas em Geral - Privado;Córrego Caveira;;
19977;Campo Experimental Empaer;NOSSA SENHORA DO LIVRAMENTO;0;0;0;;;2003-02-28;;Empresas Públicas - Público;Ribeirão Cocaes;2026-01-30;
19978;Fazenda Santa Lourdes;Água Boa;0;;;;;2009-07-12;;Pessoa Física;Córrego Tangará;;
19987;Fazenda Admar Galle & Filhos;Água Boa;209;;;;;2006-06-30;;Pessoa Física;Córrego Bonito;;
19988;Barragem I - Fazenda Santa Ernestina I;SORRISO;196.53;0;0;;;2026-04-01;;Pessoa Física;SEM NOME;2026-04-24;
19989;Fazenda Cocal;CANARANA;568;0;0;;;2010-06-22;;Empresas em Geral - Privado;Córrego Cocalzinho;2026-02-04;
19991;FAZENDA LUAR;CUIABÁ;280;0;0;;;2014-07-31;;Fundações Privadas - Privado;SEM NOME;2025-09-17;
19992;Chácara Santa Cristina;SORRISO;232;0;0;;;2017-04-20;;Pessoa Física;Rio São Manuel ou Teles Pires;2025-12-19;
19993;Fazenda Santo Antônio II;SORRISO;193;;;;;2007-07-05;;Pessoa Física;Córrego Galheiro;;
19994;PDS Bordolândia;BOM JESUS DO ARAGUAIA;478;0;0;;;1983-03-19;;Autarquias - Público;SEM NOME;;
19995;Barragem IMA;SORRISO;124;;;;;2007-07-05;;Outros - Privado;Córrego Galheiro;;
19996;FAZENDA GUAPORÉ;CANARANA;85;0;0;;;2011-06-03;;Pessoa Física;SEM NOME;;
19997;Fazenda São Filipe;SORRISO;94;;;;;2007-05-07;;Pessoa Física;Córrego da Ponte;;
20006;Fazenda Pluma;VERA;200;0;0;;;2011-06-27;;Pessoa Física;Barragem Fazenda Pluma;2024-10-08;
20032;FAZENDA CASCATA;SORRISO;200;0;0;;;2011-11-11;;Empresas em Geral - Privado;SEM NOME;2025-12-19;
20033;Fazenda Eldorado;NOVA CANAÃ DO NORTE;0;0;0;;;1800-01-01T00:00:00;;Pessoa Física;Barragem Fazenda Eldorado;;
20034;FAZENDA RIO VERDE;SORRISO;355;0;0;;;2006-11-22;;Pessoa Física;SEM NOME;2025-09-17;
20035;Fazenda Jaborandi;SORRISO;180;0;0;;;1999-08-22;;Pessoa Física;SEM NOME;;
20036;FAZENDA RINCÃO FLORIDO;IPIRANGA DO NORTE;155;0;0;;;1998-05-27;;Pessoa Física;Rio Branco;;
20037;Fazenda Guri e Guri I;NOVA MUTUM;150.26;0;0;;;1998-03-04;;Pessoa Física;SEM NOME;2025-02-11;
20047;Fazenda Murici Sesmaria Molhado;NOSSA SENHORA DO LIVRAMENTO;160;;;;;1800-01-01T00:00:00;;Pessoa Física;Rio Jangada;;
20048;Fazenda Murici Sesmaria Molhado;NOSSA SENHORA DO LIVRAMENTO;300;;;;;1800-01-01T00:00:00;;Pessoa Física;Rio Jangada;;
20049;Fazenda Murici Sesmaria Molhado;NOSSA SENHORA DO LIVRAMENTO;0;;;;;1800-01-01T00:00:00;;Pessoa Física;Rio Jangada;;
20050;Fazenda Santa Helena - Barramento 01;Alta Floresta;269.56;0;;;;2017-05-15;;Pessoa Física;SEM NOME;2026-06-22;
20051;Barramento Fazenda Carajas  - Lote 64;LUCAS DO RIO VERDE;545.8;0;0;;;2003-07-15;;Pessoa Física;SEM NOME;2026-02-04;
20057;Fazenda Água Branca;SORRISO;200;;;;;2002-06-23;;Pessoa Física;Córrego Cutia;;
20058;Fazenda Água Azul;SORRISO;104;;;;;2004-11-10;;Pessoa Física;Rio Celeste;;
20059;FAZENDA SANTA ROSA;SORRISO;281;;;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;;
20061;Fazenda Apiacás;PARANAÍTA;132;0;0;;;1800-01-01T00:00:00;;Empresas em Geral - Privado;SEM NOME;2025-01-29;
20063;Fazenda Possamai;SORRISO;0;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;;
20066;Fazenda Vitoria;SORRISO;220;0;0;;;2017-08-01;;Pessoa Física;SEM NOME;2025-11-14;
20067;Ponte de Pedra;Itiquira;300;0;0;;;2014-11-25;;;SEM NOME;2025-01-29;
20070;Barramento 02 (Montante) - São Cristóvão;SORRISO;236;;;;;2016-03-03;;Pessoa Física;SEM NOME;2026-02-04;
20071;Fazenda Faccio;NOVA MUTUM;150;0;0;;;1998-01-25;;Pessoa Física;Córrego Pacoval;2025-01-27;
20072;Fazenda São Jose;SORRISO;0;;;;;2015-07-23;;Pessoa Física;SEM NOME;;
20075;Fazenda Ogliari;LUCAS DO RIO VERDE;0;0;0;;;1997-09-20;;Pessoa Física;Córrego Piúva;;
20077;Faz. Três Pinheiros;SANTA RITA DO TRIVELATO;180;0;0;;;1800-01-01T00:00:00;;Pessoa Física;Ribeirão Mocotó;2025-10-13;
20078;Faz. Karnoski;NOVA MUTUM;104;;;;;1800-01-01T00:00:00;;Pessoa Física;Ribeirão Ranchão;;
20083;Marfrig;Tangará da Serra;100;0;0;;;1800-01-01T00:00:00;;Outros - Privado;Barragem Marfrig;2024-10-08;
20085;Faz. Lote 69-A;FELIZ NATAL;35;;;;;1800-01-01T00:00:00;;Pessoa Física;Ribeirão do Palmito;;
20086;Fazenda Nossa Senhora Aparecida;NOVA UBIRATÃ;235;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;;
20088;Faz. Boca da Mata;NOVA UBIRATÃ;107;;;;;1800-01-01T00:00:00;;Pessoa Física;Rio Ferro;;
20111;Fazenda Lapacho - Gleba B;SAPEZAL;568.56;0;0;;;1994-11-20;;Pessoa Física;Barragem Fazenda Lapacho - Gleba B;2026-02-04;
20113;Faz. Amanhecer II;GAÚCHA DO NORTE;250;;;;;2025-02-03;;Pessoa Física;SEM NOME;2025-08-01;
20114;Faz. Telles Pires;NOVA CANAÃ DO NORTE;96;;;;;1800-01-01T00:00:00;;Pessoa Física;Rio São Manuel ou Teles Pires;;
20116;Faz. Santa Terezinha;QUERÊNCIA;305;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;2025-12-19;
20118;Barragem 1 na Fazenda São João;RIBEIRÃO CASCALHEIRA;274.57;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;2025-01-27;
20119;Faz. Olho d'Água;NOVA CANAÃ DO NORTE;70;;;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;;
20125;Fazenda Guanabara;NOVA OLÍMPIA;200;0;0;;;1800-01-01T00:00:00;;;Barragem Fazenda Guanabara;;
20126;Fazenda Duas Nascentes;IPIRANGA DO NORTE;;0;0;;;2018-04-08;;Pessoa Física;SEM NOME;;
