codigo_setor;codigo_ibge;municipio;situacao;area_km2;populacao;domicilios;latitude;longitude;ano_censo;fonte;aviso
510780015000022;5107800;Santo Antônio de Leverger;Rural;530.5064;36;53;-17.227486;-55.478636;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000024;5107800;Santo Antônio de Leverger;Rural;494.6589;73;26;-17.223973;-55.282999;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000007;5107800;Santo Antônio de Leverger;Rural;0.5878;255;69;-16.595176;-55.213144;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000006;5107800;Santo Antônio de Leverger;Rural;1.3918;62;17;-16.591869;-54.991911;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310000037;5103403;Cuiabá;Rural;61.8804;52;31;-15.85152;-55.356052;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000008;5107800;Santo Antônio de Leverger;Rural;69.036;0;0;-16.523624;-55.00127;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310000031;5103403;Cuiabá;Rural;426.28;97;88;-16.354822;-55.258644;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000026;5107800;Santo Antônio de Leverger;Rural;54.6983;15;16;-16.477044;-55.095406;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510780015000027;5107800;Santo Antônio de Leverger;Rural;498.0041;73;65;-16.455611;-55.336924;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510300720000012;5103007;Chapada dos Guimarães;Rural;141.2326;171;117;-15.441711;-55.342176;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510300705000053;5103007;Chapada dos Guimarães;Rural;24.2433;6;5;-15.391259;-55.537674;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510300720000013;5103007;Chapada dos Guimarães;Rural;0.1484;60;43;-15.421592;-55.3827;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
