municipio;codigo_ibge;tipo_captacao;nome_sistema;latitude;longitude;fonte;observacao
Cuiabá;5103403;superficial;COXIPÓ DO OURO;-15.456000;-55.980000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;PORTO;-15.616000;-56.108000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;COOPHEMA;-15.643000;-56.066000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;NOSSA SENHORA DA GUIA;-15.352000;-56.225000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;TIJUCAL I;-15.612778;-56.004722;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;RIBEIRÃO DO LIPA;-15.577000;-56.132000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;SÃO SEBASTIÃO;-15.577220;-56.132222;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;SUCURI;-15.548000;-56.158000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;PARQUE CUIABÁ;-15.660833;-56.070278;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;AGUAÇU;-15.282000;-56.118000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;SUCURI;-15.553000;-56.167000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Cuiabá;5103403;superficial;COXIPÓ DO OURO;-15.452000;-55.981000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Rosário Oeste;5107701;superficial;DEPARTAMENTO DE ÁGUA E ESGOTO;-14.832640;-56.415810;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Cuiabá;5103403;superficial;AGUAÇU;-15.275000;-56.123000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Várzea Grande;5108402;superficial;ETA II JD. DOS ESTADOS;-15.621666;-56.139400;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Acorizal;5100102;superficial;ETA BAÚS;-15.241389;-56.310556;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Acorizal;5100102;superficial;ETA ACORIZAL;-15.199167;-56.366667;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Jangada;5104906;superficial;JANGADA;-15.239978;-56.482142;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Várzea Grande;5108402;superficial;ETA 3 PASSAGEM DA CONCEIÇÃO;-15.565000;-56.141900;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Várzea Grande;5108402;superficial;ETA I - CENTRO;-15.472629;-56.127111;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Santo Antônio de Leverger;5107800;superficial;ETA ANTONIO VIEIRA DE ALMEIDA;-15.867995;-56.080260;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Poconé;5106505;superficial;ETA SÃO BENEDITO;-16.315183;-56.544136;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nobres;5105903;superficial;ESAN;-14.431390;-56.195090;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Barão de Melgaço;5101605;superficial;ETA BARAO;-16.191917;-55.965580;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Chapada dos Guimarães;5103007;superficial;ETA- SAO SEBASTIAO;-15.463056;-54.745556;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Chapada dos Guimarães;5103007;superficial;ETA- SAO SEBASTIAO;-15.452778;-54.733056;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Acorizal;5100102;superficial;ETA ACORIZAL;-15.204707;-56.366151;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2018
Acorizal;5100102;superficial;ETA BAÚS;-15.242014;-56.310880;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2018
Cuiabá;5103403;superficial;SUL;-15.655429;-56.059002;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2020
Chapada dos Guimarães;5103007;superficial;ETA-  SÃO SEBASTIÃO/ DANTE MARTINS DE OLIVEIRA;-15.225155;-55.423314;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2021
Rosário Oeste;5107701;superficial;AGUAS DE ROSÁRIO OESTE SPE LTDA;-14.833435;-56.416918;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2025
Rosário Oeste;5107701;superficial;ÁGUAS DE ROSÁRIO OESTE;-14.495700;-56.245620;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Nossa Senhora do Livramento;5106109;subterraneo;Ponto 22;-15.464969;-56.132802;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nossa Senhora do Livramento;5106109;subterraneo;Ponto 21;-15.403367;-56.201030;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nossa Senhora do Livramento;5106109;subterraneo;Ponto 20;-15.413717;-56.375568;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 54;-15.748333;-56.719167;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nossa Senhora do Livramento;5106109;subterraneo;Ponto 6;-15.778252;-56.341823;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 96;-15.677000;-56.038000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 97;-15.672000;-56.038000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 09;-15.648000;-56.049000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 38;-15.648658;-56.041294;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 42;-15.631000;-56.073000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 120;-15.531983;-56.038125;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 121;-15.536653;-56.032464;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 10;-15.646000;-56.019000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 11;-15.647000;-56.025000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 01 NOVA CANAA;-15.557800;-56.016625;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 02 NOVA CANAA;-15.555906;-56.017144;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 40;-15.645000;-56.023000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 17;-15.645000;-55.969000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
