municipio;codigo_ibge;tipo_captacao;nome_sistema;latitude;longitude;fonte;observacao
Cuiabá;5103403;superficial;COXIPÓ DO OURO;-15.456000;-55.980000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;PORTO;-15.616000;-56.108000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Ribeirãozinho;5107198;superficial;ESTAÇÃO DE TRATAMENTO RIBEIRÃOZINHO;-16.293922;-52.411472;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Barra do Bugres;5101704;superficial;ETA - BARRA DO BUGRES;-15.299167;-57.427222;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nova Olímpia;5106232;superficial;DAE;-14.000000;-57.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Pontes e Lacerda;5106752;superficial;CAB PONTES E LACERDA;-15.364722;-59.534167;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;COOPHEMA;-15.643000;-56.066000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;NOSSA SENHORA DA GUIA;-15.352000;-56.225000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Barra do Garças;5101803;superficial;ÁGUAS DE BARRA DO GARÇAS -RIO GARÇAS;-15.000000;-52.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;TIJUCAL I;-15.612778;-56.004722;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;RIBEIRÃO DO LIPA;-15.577000;-56.132000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Torixoréu;5108204;superficial;ESTAÇÃO DE TRATAMENTO DE AGUA DE TORIXOREU - ETA;-16.000000;-52.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Barra do Bugres;5101704;superficial;ETA- ASSARI;-14.973611;-57.317500;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;SÃO SEBASTIÃO;-15.577220;-56.132222;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Guarantã do Norte;5104104;superficial;AGUAS DE GUARANTA LTDA;-9.572030;-54.543020;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;SUCURI;-15.548000;-56.158000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;PARQUE CUIABÁ;-15.660833;-56.070278;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;AGUAÇU;-15.282000;-56.118000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Pontal do Araguaia;5106653;superficial;ETA RIO ARAGUAIA;-15.914801;-52.264904;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Campinápolis;5102603;superficial;SETAE;-14.507600;-52.889400;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Porto Esperidião;5106828;superficial;ETA ZONA URBANA;-15.851592;-58.462633;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Tangará da Serra;5107958;superficial;SAMAE - ETA QUEIMA PÉ;-14.000000;-57.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Planalto da Serra;5106455;superficial;ANISIO BRUNO BORGES;-14.667598;-54.773133;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Rondonópolis;5107602;superficial;SISTEMA ETA;-16.000000;-54.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Salto do Céu;5107750;superficial;DAE / SEDE;-15.129722;-58.126667;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Rio Branco;5107206;superficial;DAE;-15.274167;-58.118889;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Alto Araguaia;5100300;superficial;DIVAES JARDIM NOVO ARAGUAIA;-17.290197;-53.243381;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Alto Garças;5100409;superficial;CORREGO LAGEADO;-16.973369;-53.530014;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nova Santa Helena;5106190;superficial;DAE;-10.855402;-55.175011;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Mirassol d'Oeste;5105622;superficial;ETA SAEMI;-15.000000;-58.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;SUCURI;-15.553000;-56.167000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Cuiabá;5103403;superficial;COXIPÓ DO OURO;-15.452000;-55.981000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Nova Xavantina;5106257;superficial;SETAE;-14.000000;-52.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Rosário Oeste;5107701;superficial;DEPARTAMENTO DE ÁGUA E ESGOTO;-14.832640;-56.415810;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Juruena;5105176;superficial;DAEJUR;-10.000000;-58.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Alto Araguaia;5100300;superficial;DIVAES CIDADE ALTO ARAGUAIA;-17.314805;-53.235944;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Alto Araguaia;5100300;superficial;DIVAES BURITI;-16.447528;-53.448067;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;superficial;AGUAÇU;-15.275000;-56.123000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Cáceres;5102504;superficial;ETA CENTRAL - CÁCERES;-16.372222;-57.775550;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Vila Bela da Santíssima Trindade;5105507;superficial;ETA MINA SAO FRANCISCO;-14.000000;-59.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
General Carneiro;5103908;superficial;ESTACAO DE TARATMENTO -ETA I;-15.423209;-52.445337;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Vila Bela da Santíssima Trindade;5105507;superficial;DAE - DEPARTAMENTO DE AGUA E ESGOTO;-15.009146;-59.957559;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Guiratinga;5104203;superficial;DMAEG CIDADE;-10.203339;-50.454169;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Juína;5105150;superficial;DAES;-11.381100;-58.739000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Várzea Grande;5108402;superficial;ETA II JD. DOS ESTADOS;-15.621666;-56.139400;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Terra Nova do Norte;5108055;superficial;ETA;-10.365830;-55.064710;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Tesouro;5108105;superficial;DAETE;-16.038611;-53.560278;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Jaciara;5104807;superficial;DAE;-15.866667;-54.977778;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Alta Floresta;5100250;superficial;ETA ALTA FLORESTA;-9.530000;-56.070800;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
