id_snisb;nome;nome_secundario;codigo_no_orgao_fiscalizador;orgao_fiscalizador;empreendedor;uf;municipio;latitude_declarada;longitude_declarada;uso_principal;uso_complementar;tipo_material;altura_max_fundacao_m;altura_max_terreno_m;capacidade_reservatorio_m3;fase_de_vida;categoria_risco;dano_potencial_associado;classe;nivel_de_perigo;regulada_pelo_pnsb;indicador_regulada;possui_plano_de_seguranca;possui_pae;possui_revisao_periodica;barragem_autuada;data_ultima_inspecao;tipo_ultima_inspecao;completude_cadastro;data_cadastro;numero_autorizacao;data_emissao_autorizacao;possui_eclusa;regiao_hidrografica;bacia_dnaee;curso_dagua;codigo_trecho_curso_dagua;dominio_curso_dagua;comite_de_bacia_federal;comite_de_bacia_estadual;unidade_de_gestao;longitude;latitude;origem_do_registro
31990;1A;Reservatório 19 da outorga;SEMA-PRO-2024/01895;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.8666111111;-56.2045;Aquicultura;Regularização de vazão;Terra;;3.67;0.02;Operação;Não Classificado;Não Classificado;;;Não Classificada;3.0;Não;;Não;Não;;;média;2024-09-11;661;2019-08-09;Não;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.204499999999996;-9.866611110999997;atributo_uf
31977;2B;Reservatório 8 Outorga;SEMA-PRO-2024/01680;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.8828888889;-56.2041666667;Aquicultura;Regularização de vazão;Terra;;3.1;0.146;Operação;Não Classificado;Não Classificado;;;Não Classificada;3.0;Não;;Não;Não;;;média;2024-09-10;661;2019-08-02;;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.20416666699998;-9.882888889000014;atributo_uf
21862;BONANZA;FRIGORÍFICO BONANZA;10723/2016;MT - Secretaria de Estado do Meio Ambiente - SEMA;BONANZA - INDÚSTRIA E COMÉRCIO DE CARNES LTDA;MT;ALTA FLORESTA;-9.8346111111;-56.0563611111;Industrial;;Terra;7.4;7.4;0.039;Operação;Não se Aplica;Baixo;;;Não;2.0;Não;;Não;Não;;;ótima;2020-12-07;043/2017;2017-01-17;Não;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445544;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.056361111;-9.834611111000015;atributo_uf
31551;Barragem 07 - Fazenda Zeniiti III;;SEMA-PRO-2024/01392;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.9280555556;-56.2216944444;Aquicultura;;Terra;2.65;2.65;0.007;Operação;Médio;Baixo;;;Não;2.0;Não;;Não;Não;;;ótima;2024-05-29;758/2024;2024-07-02;Não;Região Hidrográfica AMAZÔNICA;;Rio Santa Helena;444546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.22169444399998;-9.928055556000004;atributo_uf
37352;Barragem I - Fazenda Mariana II;Barragem I;SEMA-PRO-2026/06726;MT - Secretaria de Estado do Meio Ambiente - SEMA;Celso Gomes dos Santos;MT;ALTA FLORESTA;-9.9535555556;-56.1748333333;Recreação;;Terra;3.16;3.16;0.038;Operação;Médio;Baixo;;;Não Classificada;3.0;Não;;Não;Não;;;ótima;2026-05-25;828/2026;2026-06-02;Não;Região Hidrográfica AMAZÔNICA;;Ribeirão Taxidermista;4445548;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.17483333299998;-9.953555556000026;atributo_uf
37353;Barragem II - Fazenda Mariana II;Barragem II;SEMA-PRO-2026/06726 II;MT - Secretaria de Estado do Meio Ambiente - SEMA;Celso Gomes dos Santos;MT;ALTA FLORESTA;-9.9582777778;-56.1765555556;Recreação;;Terra;3.95;3.95;0.003;Operação;Médio;Baixo;;;Não Classificada;3.0;Não;;Não;Não;;;ótima;2026-05-25;828/2026;2026-06-02;Não;Região Hidrográfica AMAZÔNICA;;Ribeirão Taxidermista;4445548;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.17655555599998;-9.958277778000024;atributo_uf
34585;Barramento - Fazenda Cristalino III;Barramento - Fazenda Cristalino III;SEMA-PRO-2024/10263;MT - Secretaria de Estado do Meio Ambiente - SEMA;Manfra Agropecuária LTDA;MT;ALTA FLORESTA;-9.69975;-55.9865833333;Irrigação;;Terra;3.04;3.04;0.04;Operação;Alto;Baixo;;;Não;2.0;Não;;Não;Não;;;ótima;2025-02-27;253/2025;2025-02-28;Não;Região Hidrográfica AMAZÔNICA;;Córrego do Vale;4445594;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-55.986583333;-9.699749999999995;atributo_uf
35005;Barramento - Fazenda Tropeiro Velho IV e V;Barramento - Fazenda Tropeiro Velho IV e V;SEMA-PRO-2024/10243;MT - Secretaria de Estado do Meio Ambiente - SEMA;CLEUSA DE LOURDES GREGORIO NUNES;MT;ALTA FLORESTA;-10.2708333333;-56.275;Irrigação;;Terra;1.72;1.72;0.034;Operação;Alto;Baixo;;;Não;2.0;Não;;Não;Não;;;ótima;2025-05-19;567/2025;2025-05-20;;Região Hidrográfica AMAZÔNICA;;SEM NOME;44452872;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.27499999999998;-10.270833332999985;atributo_uf
35118;Barramento 05 - Fazenda Zeniiti III;Barramento 05 - Fazenda Zeniiti III;SEMA-PRO-2025/08145;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.9021666667;-56.2128888889;Aquicultura;;Terra;4.94;4.94;0.019;Operação;Médio;Médio;B;;Sim;1.0;Não;;Não;Não;;;boa;2025-07-25;995/2025;2025-07-31;Não;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.212888889;-9.902166667000017;atributo_uf
35110;Barramento 10 - Fazenda Zeniiti III;Barramento 10 - Fazenda Zeniiti III;SEMA-PRO-2025-08148;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.9121666667;-56.2206666667;Aquicultura;;Terra;4.0;4.0;0.033;;Médio;Médio;B;;Sim;1.0;Não;;Não;Não;;;boa;2025-07-23;968/2025;2025-07-31;Não;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.22066666699999;-9.912166667000008;atributo_uf
35113;Barramento 12 - fazenda Zeniiti III;Barramento 12 - fazenda Zeniiti III;SEMA-PRO-2025-08148;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.9178055556;-56.2206388889;Aquicultura;;Terra;3.95;3.95;0.021;;Médio;Médio;B;;Sim;1.0;Não;;Não;Não;;;boa;2025-07-24;968/2025;2025-07-31;Não;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.220638888999986;-9.917805556000019;atributo_uf
34519;Barramento 15 - Fazenda Zeniiti III;Barramento 15 - Fazenda Zeniiti III;SEMA-PRO-2024/34105;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.9155;-56.2074444444;Paisagismo;;Terra;4.24;4.24;0.06;Operação;Alto;Médio;B;;Sim;1.0;Não;;Não;Não;;;boa;2025-02-17;212/2025;2025-02-19;;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.207444443999975;-9.915500000000009;atributo_uf
34520;Barramento 16 - Montante;Barramento 16 - Montante;Processo SEMA-PRO-2024/34105;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.9171111111;-56.2091666667;Aquicultura;;Terra;3.08;3.08;0.028;Operação;Alto;Médio;B;;Sim;1.0;Não;;Não;Não;;;boa;2025-02-17;212/2025;2025-02-19;Não;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.20916666699998;-9.917111110999997;atributo_uf
34521;Barramento 17 (montante) - Fazenda Zeniiti III;Barramento 17 (montante) - Fazenda Zeniiti III;Proc. SEMA-PRO-2024/34105;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.9198888889;-56.212;Aquicultura;;Terra;3.77;3.77;0.025;Operação;Alto;Médio;B;;Sim;1.0;Não;;Não;Não;;;boa;2025-02-17;212/2025;2025-02-19;Não;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.21199999999999;-9.919888888999992;atributo_uf
34522;Barramento 18 (montante) - Fazenda Zeniiti III;Barramento 18 (montante) - Fazenda Zeniiti III;SIGA SEMA-PRO-2024/34105;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.9213888889;-56.2120555556;Aquicultura;;Terra;3.88;3.88;0.012;Operação;Alto;Médio;B;;Sim;1.0;Não;;Não;Não;;;boa;2025-02-17;212/2025;2025-02-19;Não;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.212055555999996;-9.921388889000013;atributo_uf
36669;Chácara Esteio ? Barramento 02;;SEMA-PRO-2026/14444;MT - Secretaria de Estado do Meio Ambiente - SEMA;Ercio Luedke;MT;ALTA FLORESTA;-9.8978333333;-56.0610555556;Aquicultura;;Terra;2.07;2.07;0.016;Operação;Baixo;Baixo;;;Não Classificada;3.0;Não;;Não;Não;;;ótima;2026-05-18;804/2026;2026-05-22;;Região Hidrográfica AMAZÔNICA;;SEM NOME;44455442;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.061055555999985;-9.897833332999994;atributo_uf
31748;Fazenda Agrocondor II;;18196/2023;MT - Secretaria de Estado do Meio Ambiente - SEMA;Celso Gomes dos Santos;MT;ALTA FLORESTA;-9.8848888889;-56.15;Dessedentação Animal;Regularização de vazão;Terra;;2.97;0.071;Operação;Médio;Médio;B;;Sim;1.0;Não;;Não;Não;;;boa;2024-08-05;992/2024;2024-08-14;;Região Hidrográfica AMAZÔNICA;;Ribeirão Taxidermista;4445548;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.14999999999998;-9.884888889000024;atributo_uf
35098;Fazenda Zeniiti III (Barramento 6);Fazenda Zeniiti III (Barramento 6);SEMA-PRO-2025/08148;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.9084444444;-56.2145277778;Aquicultura;;Terra;4.9;4.9;0.049;Operação;Médio;Médio;B;;Sim;1.0;Não;;Não;Não;;;boa;2025-07-17;968/2025;2025-07-31;Não;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.21452777799999;-9.908444443999997;atributo_uf
31920;Fazenda Zeniiti III - Barramento 4;Barramento 11 da outorga;SEMA-PRO-2024/01799;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.9101666667;-56.2285;Aquicultura;;Terra;3.64;3.64;0.04;Operação;Médio;Médio;B;;Sim;1.0;Não;;Não;Não;;;boa;2024-09-04;1.195/2024;2024-09-09;Não;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.2285;-9.910166666999999;atributo_uf
34468;Fazenda Zeniiti III – Barramento 05;;SEMA-PRO-2024/25112;MT - Secretaria de Estado do Meio Ambiente - SEMA;Denise Conceição Zottis Boscoli;MT;ALTA FLORESTA;-9.8948888889;-56.2202777778;Paisagismo;;Terra;4.28;4.28;0.045;Operação;Médio;Médio;B;;Sim;1.0;Não;;Não;Não;;;boa;2025-01-30;144/2025;2025-02-03;;Região Hidrográfica AMAZÔNICA;;SEM NOME;4445546;Federal;;CBH da Margem Esquerda do Baixo Teles Pires;CBH da Margem Esquerda do Baixo Teles Pires;-56.220277778000025;-9.894888889000015;atributo_uf
