id_snisb;nome;municipio;latitude;longitude;chuva_24h_mm;chuva_72h_mm;chuva_prevista_24_72h_mm;percentil_climatologico;dias_consecutivos_chuva_intensa;data_referencia;fonte_precip;fonte_previsao;estacao_inmet;dist_estacao_km;serie_mm;datas_serie
36539;Barramento Pé de Pequi I;Chapada dos Guimarães;-15.047694;-55.954361;0.7;0.9;3.6;30.0;0;2026-09-06;openmeteo_ponto;openmeteo_ponto;;;0.1|0.1|0.7|0.0|1.5|2.1;2026-09-04|2026-09-05|2026-09-06|2026-09-07|2026-09-08|2026-09-09
4931;PCH Casca II - B01 - CASCA I;Chapada dos Guimarães;-15.364200;-55.434700;0.0;0.0;8.4;30.0;0;2026-09-06;openmeteo_ponto;openmeteo_ponto;;;0.0|0.0|0.0|0.0|6.8|1.6;2026-09-04|2026-09-05|2026-09-06|2026-09-07|2026-09-08|2026-09-09
20618;PCH Casca II - B02 - Ponte Alta;Chapada dos Guimarães;-15.364200;-55.434700;0.0;0.0;8.4;30.0;0;2026-09-06;openmeteo_ponto;openmeteo_ponto;;;0.0|0.0|0.0|0.0|6.8|1.6;2026-09-04|2026-09-05|2026-09-06|2026-09-07|2026-09-08|2026-09-09
20617;PCH Casca III - Casca III;Chapada dos Guimarães;-15.357500;-55.453600;0.0;0.0;8.4;30.0;0;2026-09-06;openmeteo_ponto;openmeteo_ponto;;;0.0|0.0|0.0|0.0|6.8|1.6;2026-09-04|2026-09-05|2026-09-06|2026-09-07|2026-09-08|2026-09-09
34145;UHE Manso - Barragem da Margem Direita;Chapada dos Guimarães;-14.866700;-55.782500;0.0;1.3;3.9;30.0;0;2026-09-06;openmeteo_ponto;openmeteo_ponto;;;1.1|0.2|0.0|0.0|3.1|0.8;2026-09-04|2026-09-05|2026-09-06|2026-09-07|2026-09-08|2026-09-09
34146;UHE Manso - Barragem da Margem Esquerda;Chapada dos Guimarães;-14.882500;-55.795800;0.0;1.3;3.9;30.0;0;2026-09-06;openmeteo_ponto;openmeteo_ponto;;;1.1|0.2|0.0|0.0|3.1|0.8;2026-09-04|2026-09-05|2026-09-06|2026-09-07|2026-09-08|2026-09-09
4436;UHE Manso - Barragem de Terra do Leito do Rio;Chapada dos Guimarães;-14.873100;-55.784700;0.0;1.3;3.9;30.0;0;2026-09-06;openmeteo_ponto;openmeteo_ponto;;;1.1|0.2|0.0|0.0|3.1|0.8;2026-09-04|2026-09-05|2026-09-06|2026-09-07|2026-09-08|2026-09-09
20601;UHE Manso - Dique 2;Chapada dos Guimarães;-14.857200;-55.786400;0.0;1.3;3.9;30.0;0;2026-09-06;openmeteo_ponto;openmeteo_ponto;;;1.1|0.2|0.0|0.0|3.1|0.8;2026-09-04|2026-09-05|2026-09-06|2026-09-07|2026-09-08|2026-09-09
20602;UHE Manso - Dique 3;Chapada dos Guimarães;-14.857200;-55.774200;0.0;1.3;3.9;30.0;0;2026-09-06;openmeteo_ponto;openmeteo_ponto;;;1.1|0.2|0.0|0.0|3.1|0.8;2026-09-04|2026-09-05|2026-09-06|2026-09-07|2026-09-08|2026-09-09
20603;UHE Manso - Dique 4;Chapada dos Guimarães;-14.851100;-55.755600;0.0;1.3;3.9;30.0;0;2026-09-06;openmeteo_ponto;openmeteo_ponto;;;1.1|0.2|0.0|0.0|3.1|0.8;2026-09-04|2026-09-05|2026-09-06|2026-09-07|2026-09-08|2026-09-09
